,Label,Monthly economic outlook survey in the building industry - Past trend in the workforce - Overall - SA series,Codes
116,1979-09,,O
117,1979-10,1.3,A
118,1979-11,,O
119,1979-12,,O
120,1980-01,0.1,A
121,1980-02,,O
122,1980-03,,O
123,1980-04,-0.9,A
124,1980-05,,O
125,1980-06,,O
126,1980-07,-3.6,A
127,1980-08,,O
128,1980-09,,O
129,1980-10,-7.1,A
130,1980-11,,O
131,1980-12,,O
132,1981-01,-8.9,A
133,1981-02,,O
134,1981-03,,O
135,1981-04,-10.5,A
136,1981-05,,O
137,1981-06,,O
138,1981-07,-13.2,A
139,1981-08,,O
140,1981-09,,O
141,1981-10,-16.5,A
142,1981-11,,O
143,1981-12,,O
144,1982-01,-22.9,A
145,1982-02,,O
146,1982-03,,O
147,1982-04,-29.5,A
148,1982-05,,O
149,1982-06,,O
150,1982-07,-29.3,A
151,1982-08,,O
152,1982-09,,O
153,1982-10,-29.3,A
154,1982-11,,O
155,1982-12,,O
156,1983-01,-29.6,A
157,1983-02,,O
158,1983-03,,O
159,1983-04,-30.7,A
160,1983-05,,O
161,1983-06,,O
162,1983-07,-31.0,A
163,1983-08,,O
164,1983-09,,O
165,1983-10,-30.7,A
166,1983-11,,O
167,1983-12,,O
168,1984-01,-28.8,A
169,1984-02,,O
170,1984-03,,O
171,1984-04,-29.3,A
172,1984-05,,O
173,1984-06,,O
174,1984-07,-31.8,A
175,1984-08,,O
176,1984-09,,O
177,1984-10,-32.3,A
178,1984-11,,O
179,1984-12,,O
180,1985-01,-19.4,A
181,1985-02,,O
182,1985-03,,O
183,1985-04,-11.1,A
184,1985-05,,O
185,1985-06,,O
186,1985-07,-7.2,A
187,1985-08,,O
188,1985-09,,O
189,1985-10,-7.5,A
190,1985-11,,O
191,1985-12,,O
192,1986-01,-7.9,A
193,1986-02,,O
194,1986-03,,O
195,1986-04,-3.1,A
196,1986-05,,O
197,1986-06,,O
198,1986-07,3.4,A
199,1986-08,,O
200,1986-09,,O
201,1986-10,6.1,A
202,1986-11,,O
203,1986-12,,O
204,1987-01,4.5,A
205,1987-02,,O
206,1987-03,,O
207,1987-04,-2.9,A
208,1987-05,,O
209,1987-06,,O
210,1987-07,2.6,A
211,1987-08,,O
212,1987-09,,O
213,1987-10,7.4,A
214,1987-11,,O
215,1987-12,,O
216,1988-01,11.6,A
217,1988-02,,O
218,1988-03,,O
219,1988-04,18.3,A
220,1988-05,,O
221,1988-06,,O
222,1988-07,16.2,A
223,1988-08,,O
224,1988-09,,O
225,1988-10,26.0,A
226,1988-11,,O
227,1988-12,,O
228,1989-01,21.9,A
229,1989-02,,O
230,1989-03,,O
231,1989-04,17.8,A
232,1989-05,,O
233,1989-06,,O
234,1989-07,15.8,A
235,1989-08,,O
236,1989-09,,O
237,1989-10,11.7,A
238,1989-11,,O
239,1989-12,,O
240,1990-01,12.7,A
241,1990-02,,O
242,1990-03,,O
243,1990-04,16.9,A
244,1990-05,,O
245,1990-06,,O
246,1990-07,16.1,A
247,1990-08,,O
248,1990-09,,O
249,1990-10,-5.8,A
250,1990-11,,O
251,1990-12,,O
252,1991-01,3.4,A
253,1991-02,,O
254,1991-03,,O
255,1991-04,-0.4,A
256,1991-05,,O
257,1991-06,,O
258,1991-07,-0.1,A
259,1991-08,,O
260,1991-09,,O
261,1991-10,-6.3,A
262,1991-11,,O
263,1991-12,,O
264,1992-01,-9.4,A
265,1992-02,,O
266,1992-03,,O
267,1992-04,-18.5,A
268,1992-05,,O
269,1992-06,,O
270,1992-07,-32.8,A
271,1992-08,,O
272,1992-09,,O
273,1992-10,-33.5,A
274,1992-11,,O
275,1992-12,,O
276,1993-01,-37.0,A
277,1993-02,,O
278,1993-03,,O
279,1993-04,-34.4,A
280,1993-05,,O
281,1993-06,,O
282,1993-07,-34.9,A
283,1993-08,,O
284,1993-09,-35.9,A
285,1993-10,-34.1,A
286,1993-11,-29.4,A
287,1993-12,-27.3,A
288,1994-01,-26.0,A
289,1994-02,-22.4,A
290,1994-03,-22.5,A
291,1994-04,-21.3,A
292,1994-05,-19.3,A
293,1994-06,-17.7,A
294,1994-07,-17.1,A
295,1994-08,-16.5,A
296,1994-09,-15.2,A
297,1994-10,-21.2,A
298,1994-11,-16.4,A
299,1994-12,-16.2,A
300,1995-01,-16.1,A
301,1995-02,-17.9,A
302,1995-03,-17.9,A
303,1995-04,-14.7,A
304,1995-05,-17.9,A
305,1995-06,-19.1,A
306,1995-07,-16.6,A
307,1995-08,-17.8,A
308,1995-09,-18.2,A
309,1995-10,-18.9,A
310,1995-11,-19.6,A
311,1995-12,-20.7,A
312,1996-01,-22.1,A
313,1996-02,-26.8,A
314,1996-03,-27.3,A
315,1996-04,-32.6,A
316,1996-05,-32.3,A
317,1996-06,-33.7,A
318,1996-07,-36.8,A
319,1996-08,-34.0,A
320,1996-09,-30.5,A
321,1996-10,-31.1,A
322,1996-11,-34.6,A
323,1996-12,-23.2,A
324,1997-01,-33.7,A
325,1997-02,-28.6,A
326,1997-03,-27.5,A
327,1997-04,-23.0,A
328,1997-05,-19.1,A
329,1997-06,-6.8,A
330,1997-07,-13.8,A
331,1997-08,-17.3,A
332,1997-09,-19.9,A
333,1997-10,-17.9,A
334,1997-11,-19.0,A
335,1997-12,-19.9,A
336,1998-01,-15.5,A
337,1998-02,-15.6,A
338,1998-03,-13.6,A
339,1998-04,-11.7,A
340,1998-05,-6.6,A
341,1998-06,-5.2,A
342,1998-07,-2.2,A
343,1998-08,-0.8,A
344,1998-09,1.4,A
345,1998-10,-2.0,A
346,1998-11,-0.5,A
347,1998-12,0.2,A
348,1999-01,-2.0,A
349,1999-02,0.1,A
350,1999-03,3.1,A
351,1999-04,1.9,A
352,1999-05,0.2,A
353,1999-06,-0.2,A
354,1999-07,8.3,A
355,1999-08,12.2,A
356,1999-09,16.7,A
357,1999-10,16.6,A
358,1999-11,14.4,A
359,1999-12,20.6,A
360,2000-01,18.8,A
361,2000-02,18.3,A
362,2000-03,16.2,A
363,2000-04,28.8,A
364,2000-05,24.0,A
365,2000-06,24.5,A
366,2000-07,28.6,A
367,2000-08,27.4,A
368,2000-09,26.5,A
369,2000-10,28.7,A
370,2000-11,28.7,A
371,2000-12,26.0,A
372,2001-01,20.8,A
373,2001-02,23.3,A
374,2001-03,19.3,A
375,2001-04,12.1,A
376,2001-05,14.8,A
377,2001-06,13.6,A
378,2001-07,8.1,A
379,2001-08,6.8,A
380,2001-09,5.7,A
381,2001-10,2.0,A
382,2001-11,3.9,A
383,2001-12,1.3,A
384,2002-01,2.9,A
385,2002-02,1.3,A
386,2002-03,2.8,A
387,2002-04,-1.0,A
388,2002-05,-0.4,A
389,2002-06,-0.9,A
390,2002-07,-0.8,A
391,2002-08,-2.3,A
392,2002-09,-3.6,A
393,2002-10,-3.1,A
394,2002-11,-2.9,A
395,2002-12,-2.7,A
396,2003-01,0.1,A
397,2003-02,1.4,A
398,2003-03,-2.5,A
399,2003-04,4.5,A
400,2003-05,-0.5,A
401,2003-06,-0.5,A
402,2003-07,0.2,A
403,2003-08,1.3,A
404,2003-09,2.3,A
405,2003-10,-0.7,A
406,2003-11,6.1,A
407,2003-12,6.5,A
408,2004-01,6.7,A
409,2004-02,2.2,A
410,2004-03,2.0,A
411,2004-04,7.8,A
412,2004-05,3.4,A
413,2004-06,0.1,A
414,2004-07,1.7,A
415,2004-08,0.5,A
416,2004-09,-1.0,A
417,2004-10,-0.4,A
418,2004-11,-0.5,A
419,2004-12,1.4,A
420,2005-01,0.7,A
421,2005-02,0.1,A
422,2005-03,5.5,A
423,2005-04,6.9,A
424,2005-05,6.7,A
425,2005-06,8.2,A
426,2005-07,3.9,A
427,2005-08,6.0,A
428,2005-09,7.9,A
429,2005-10,9.7,A
430,2005-11,11.5,A
431,2005-12,12.7,A
432,2006-01,18.9,A
433,2006-02,19.9,A
434,2006-03,13.3,A
435,2006-04,16.0,A
436,2006-05,18.2,A
437,2006-06,17.9,A
438,2006-07,20.4,A
439,2006-08,21.1,A
440,2006-09,21.7,A
441,2006-10,21.6,A
442,2006-11,19.8,A
443,2006-12,18.5,A
444,2007-01,19.2,A
445,2007-02,21.4,A
446,2007-03,20.5,A
447,2007-04,20.6,A
448,2007-05,20.2,A
449,2007-06,23.4,A
450,2007-07,21.6,A
451,2007-08,21.8,A
452,2007-09,22.1,A
453,2007-10,16.6,A
454,2007-11,21.7,A
455,2007-12,21.0,A
456,2008-01,22.6,A
457,2008-02,21.4,A
458,2008-03,23.0,A
459,2008-04,21.1,A
460,2008-05,12.9,A
461,2008-06,13.6,A
462,2008-07,13.4,A
463,2008-08,9.3,A
464,2008-09,5.9,A
465,2008-10,5.9,A
466,2008-11,-0.9,A
467,2008-12,-2.3,A
468,2009-01,-8.7,A
469,2009-02,-8.2,A
470,2009-03,-12.8,A
471,2009-04,-18.5,A
472,2009-05,-17.9,A
473,2009-06,-17.9,A
474,2009-07,-20.7,A
475,2009-08,-19.2,A
476,2009-09,-19.1,A
477,2009-10,-19.2,A
478,2009-11,-18.8,A
479,2009-12,-18.8,A
480,2010-01,-18.3,A
481,2010-02,-17.2,A
482,2010-03,-16.8,A
483,2010-04,-16.6,A
484,2010-05,-14.0,A
485,2010-06,-15.8,A
486,2010-07,-10.8,A
487,2010-08,-12.0,A
488,2010-09,-11.0,A
489,2010-10,-11.9,A
490,2010-11,-7.6,A
491,2010-12,-4.4,A
492,2011-01,-4.2,A
493,2011-02,-5.1,A
494,2011-03,-3.1,A
495,2011-04,0.2,A
496,2011-05,-0.3,A
497,2011-06,3.3,A
498,2011-07,3.3,A
499,2011-08,3.8,A
500,2011-09,2.6,A
501,2011-10,-2.2,A
502,2011-11,-8.7,A
503,2011-12,-6.4,A
504,2012-01,-4.2,A
505,2012-02,-5.5,A
506,2012-03,-6.9,A
507,2012-04,-8.7,A
508,2012-05,-8.9,A
509,2012-06,-7.6,A
510,2012-07,-11.9,A
511,2012-08,-11.2,A
512,2012-09,-15.8,A
513,2012-10,-10.0,A
514,2012-11,-10.7,A
515,2012-12,-13.3,A
516,2013-01,-14.4,A
517,2013-02,-17.1,A
518,2013-03,-17.9,A
519,2013-04,-14.1,A
520,2013-05,-16.1,A
521,2013-06,-18.4,A
522,2013-07,-18.2,A
523,2013-08,-19.8,A
524,2013-09,-18.5,A
525,2013-10,-13.4,A
526,2013-11,-18.1,A
527,2013-12,-16.7,A
528,2014-01,-19.0,A
529,2014-02,-19.7,A
530,2014-03,-18.6,A
531,2014-04,-22.7,A
532,2014-05,-15.4,A
533,2014-06,-26.4,A
534,2014-07,-25.5,A
535,2014-08,-26.6,A
536,2014-09,-28.7,A
537,2014-10,-28.6,A
538,2014-11,-24.8,A
539,2014-12,-25.7,A
540,2015-01,-29.3,A
541,2015-02,-24.9,A
542,2015-03,-26.6,A
543,2015-04,-34.5,A
544,2015-05,-29.9,A
545,2015-06,-26.4,A
546,2015-07,-28.7,A
547,2015-08,-25.1,A
548,2015-09,-24.9,A
549,2015-10,-26.6,A
550,2015-11,-28.3,A
551,2015-12,-27.4,A
552,2016-01,-24.7,A
553,2016-02,-25.8,A
554,2016-03,-27.1,A
555,2016-04,-23.5,A
556,2016-05,-24.0,A
557,2016-06,-23.8,A
558,2016-07,-21.0,A
559,2016-08,-20.9,A
560,2016-09,-18.5,A
561,2016-10,-17.4,A
562,2016-11,-14.7,A
563,2016-12,-15.2,A
564,2017-01,-14.2,A
565,2017-02,-13.2,A
566,2017-03,-11.1,A
567,2017-04,-15.5,A
568,2017-05,-7.9,A
569,2017-06,-6.6,A
570,2017-07,-2.5,A
571,2017-08,-7.6,A
572,2017-09,-6.9,A
573,2017-10,-5.2,A
574,2017-11,-5.5,A
575,2017-12,7.3,A
576,2018-01,-1.4,A
577,2018-02,-4.6,A
578,2018-03,0.8,A
579,2018-04,3.7,A
580,2018-05,7.0,A
581,2018-06,3.9,A
582,2018-07,4.3,A
583,2018-08,3.6,A
584,2018-09,4.5,A
585,2018-10,4.9,A
586,2018-11,9.6,A
587,2018-12,5.8,A
588,2019-01,1.8,A
589,2019-02,5.7,A
590,2019-03,5.6,A
591,2019-04,3.8,A
592,2019-05,6.5,A
593,2019-06,4.5,A
594,2019-07,4.1,A
595,2019-08,5.9,A
596,2019-09,4.5,A
597,2019-10,5.9,A
598,2019-11,5.5,A
599,2019-12,5.8,A
600,2020-01,6.8,A
601,2020-02,7.8,A
602,2020-03,6.4,U
603,2020-04,0.3,U
604,2020-05,-17.0,U
605,2020-06,-23.2,U
606,2020-07,-17.6,U
607,2020-08,-13.5,U
608,2020-09,-8.2,A
609,2020-10,-7.5,A
610,2020-11,-3.4,U
611,2020-12,-1.3,U
612,2021-01,-3.6,A
613,2021-02,-7.1,A
614,2021-03,-1.5,A
615,2021-04,2.3,A
616,2021-05,-1.6,A
617,2021-06,0.4,A
618,2021-07,3.7,A
619,2021-08,1.8,A
620,2021-09,2.1,A
621,2021-10,4.1,A
622,2021-11,6.3,A
623,2021-12,9.0,A
624,2022-01,3.8,A
625,2022-02,1.8,A
626,2022-03,0.0,A
627,2022-04,7.0,A
628,2022-05,4.4,A
629,2022-06,-1.4,A
630,2022-07,-0.7,A
631,2022-08,-3.3,A
632,2022-09,-1.6,A
633,2022-10,6.4,A
634,2022-11,7.5,A
635,2022-12,8.8,A
