,Label,Monthly business survey in goods-producing industries - Manufacturing industry - Level of global order books (balance of opinion) - SA series,Codes
109,1979-02,-13.5,A
110,1979-03,-15.6,A
111,1979-04,-15.0,A
112,1979-05,-11.4,A
113,1979-06,-7.9,A
114,1979-07,-7.0,A
115,1979-08,-6.2,A
116,1979-09,-5.8,A
117,1979-10,-5.7,A
118,1979-11,-4.7,A
119,1979-12,-4.6,A
120,1980-01,-5.3,A
121,1980-02,-5.2,A
122,1980-03,-2.8,A
123,1980-04,-9.4,A
124,1980-05,-13.7,A
125,1980-06,-17.8,A
126,1980-07,-21.4,A
127,1980-08,-25.1,A
128,1980-09,-29.6,A
129,1980-10,-30.8,A
130,1980-11,-35.3,A
131,1980-12,-41.3,A
132,1981-01,-37.4,A
133,1981-02,-40.1,A
134,1981-03,-39.5,A
135,1981-04,-40.3,A
136,1981-05,-39.4,A
137,1981-06,-38.2,A
138,1981-07,-36.0,A
139,1981-08,-32.6,A
140,1981-09,-30.4,A
141,1981-10,-32.2,A
142,1981-11,-25.7,A
143,1981-12,-26.9,A
144,1982-01,-26.2,A
145,1982-02,-26.7,A
146,1982-03,-29.0,A
147,1982-04,-21.2,A
148,1982-05,-22.9,A
149,1982-06,-24.5,A
150,1982-07,-25.2,A
151,1982-08,-27.6,A
152,1982-09,-31.4,A
153,1982-10,-28.7,A
154,1982-11,-26.9,A
155,1982-12,-27.5,A
156,1983-01,-28.0,A
157,1983-02,-27.4,A
158,1983-03,-30.6,A
159,1983-04,-30.1,A
160,1983-05,-34.7,A
161,1983-06,-34.0,A
162,1983-07,-36.0,A
163,1983-08,-37.1,A
164,1983-09,-39.6,A
165,1983-10,-33.7,A
166,1983-11,-34.7,A
167,1983-12,-33.2,A
168,1984-01,-30.9,A
169,1984-02,-31.1,A
170,1984-03,-29.6,A
171,1984-04,-31.0,A
172,1984-05,-27.5,A
173,1984-06,-30.2,A
174,1984-07,-29.5,A
175,1984-08,-27.3,A
176,1984-09,-26.4,A
177,1984-10,-28.7,A
178,1984-11,-29.2,A
179,1984-12,-30.0,A
180,1985-01,-32.0,A
181,1985-02,-29.9,A
182,1985-03,-27.6,A
183,1985-04,-28.4,A
184,1985-05,-29.4,A
185,1985-06,-24.6,A
186,1985-07,-22.9,A
187,1985-08,-23.7,A
188,1985-09,-25.4,A
189,1985-10,-20.9,A
190,1985-11,-21.3,A
191,1985-12,-19.9,A
192,1986-01,-22.8,A
193,1986-02,-18.4,A
194,1986-03,-15.8,A
195,1986-04,-18.6,A
196,1986-05,-17.7,A
197,1986-06,-17.7,A
198,1986-07,-18.6,A
199,1986-08,-18.3,A
200,1986-09,-18.4,A
201,1986-10,-22.4,A
202,1986-11,-19.8,A
203,1986-12,-19.3,A
204,1987-01,-18.0,A
205,1987-02,-19.2,A
206,1987-03,-18.5,A
207,1987-04,-14.4,A
208,1987-05,-12.0,A
209,1987-06,-15.2,A
210,1987-07,-14.9,A
211,1987-08,-12.3,A
212,1987-09,-9.8,A
213,1987-10,-8.4,A
214,1987-11,-8.2,A
215,1987-12,-3.5,A
216,1988-01,-3.6,A
217,1988-02,0.4,A
218,1988-03,2.1,A
219,1988-04,7.4,A
220,1988-05,5.0,A
221,1988-06,6.2,A
222,1988-07,10.6,A
223,1988-08,11.9,A
224,1988-09,13.0,A
225,1988-10,13.8,A
226,1988-11,16.5,A
227,1988-12,14.1,A
228,1989-01,16.1,A
229,1989-02,15.3,A
230,1989-03,13.6,A
231,1989-04,14.9,A
232,1989-05,17.2,A
233,1989-06,15.8,A
234,1989-07,16.8,A
235,1989-08,15.5,A
236,1989-09,14.1,A
237,1989-10,10.0,A
238,1989-11,10.3,A
239,1989-12,9.6,A
240,1990-01,6.0,A
241,1990-02,3.7,A
242,1990-03,-1.3,A
243,1990-04,-4.1,A
244,1990-05,-1.8,A
245,1990-06,-6.4,A
246,1990-07,-5.3,A
247,1990-08,-10.2,A
248,1990-09,-16.6,A
249,1990-10,-15.5,A
250,1990-11,-19.5,A
251,1990-12,-25.2,A
252,1991-01,-26.0,A
253,1991-02,-27.9,A
254,1991-03,-28.5,A
255,1991-04,-25.4,A
256,1991-05,-29.1,A
257,1991-06,-28.8,A
258,1991-07,-32.1,A
259,1991-08,-32.0,A
260,1991-09,-32.0,A
261,1991-10,-30.8,A
262,1991-11,-31.8,A
263,1991-12,-34.8,A
264,1992-01,-35.9,A
265,1992-02,-30.3,A
266,1992-03,-33.9,A
267,1992-04,-35.5,A
268,1992-05,-31.4,A
269,1992-06,-36.0,A
270,1992-07,-37.1,A
271,1992-08,-37.4,A
272,1992-09,-37.6,A
273,1992-10,-45.3,A
274,1992-11,-49.0,A
275,1992-12,-50.7,A
276,1993-01,-51.1,A
277,1993-02,-55.7,A
278,1993-03,-56.1,A
279,1993-04,-58.5,A
280,1993-05,-59.2,A
281,1993-06,-63.3,A
282,1993-07,-57.6,A
283,1993-08,-58.4,A
284,1993-09,-59.7,A
285,1993-10,-58.0,A
286,1993-11,-52.8,A
287,1993-12,-48.1,A
288,1994-01,-45.1,A
289,1994-02,-44.1,A
290,1994-03,-29.0,A
291,1994-04,-23.0,A
292,1994-05,-15.1,A
293,1994-06,-14.3,A
294,1994-07,-14.4,A
295,1994-08,-8.0,A
296,1994-09,-2.5,A
297,1994-10,-2.4,A
298,1994-11,-4.9,A
299,1994-12,-3.0,A
300,1995-01,-2.0,A
301,1995-02,-4.4,A
302,1995-03,-6.5,A
303,1995-04,-4.3,A
304,1995-05,-3.9,A
305,1995-06,-7.5,A
306,1995-07,-11.5,A
307,1995-08,-15.3,A
308,1995-09,-19.8,A
309,1995-10,-26.5,A
310,1995-11,-24.5,A
311,1995-12,-33.7,A
312,1996-01,-30.4,A
313,1996-02,-33.1,A
314,1996-03,-33.9,A
315,1996-04,-28.7,A
316,1996-05,-28.9,A
317,1996-06,-28.1,A
318,1996-07,-29.6,A
319,1996-08,-28.1,A
320,1996-09,-26.4,A
321,1996-10,-24.8,A
322,1996-11,-23.3,A
323,1996-12,-23.9,A
324,1997-01,-21.2,A
325,1997-02,-22.3,A
326,1997-03,-20.2,A
327,1997-04,-20.0,A
328,1997-05,-15.5,A
329,1997-06,-15.0,A
330,1997-07,-11.3,A
331,1997-08,-6.2,A
332,1997-09,-0.9,A
333,1997-10,-5.5,A
334,1997-11,-2.0,A
335,1997-12,2.5,A
336,1998-01,-0.2,A
337,1998-02,3.0,A
338,1998-03,10.7,A
339,1998-04,8.3,A
340,1998-05,6.8,A
341,1998-06,8.2,A
342,1998-07,7.1,A
343,1998-08,6.4,A
344,1998-09,5.8,A
345,1998-10,-3.9,A
346,1998-11,-9.8,A
347,1998-12,-9.3,A
348,1999-01,-8.4,A
349,1999-02,-8.5,A
350,1999-03,-16.6,A
351,1999-04,-18.0,A
352,1999-05,-13.1,A
353,1999-06,-18.7,A
354,1999-07,-6.5,A
355,1999-08,-1.5,A
356,1999-09,2.8,A
357,1999-10,5.2,A
358,1999-11,9.6,A
359,1999-12,14.0,A
360,2000-01,9.3,A
361,2000-02,14.3,A
362,2000-03,18.6,A
363,2000-04,16.6,A
364,2000-05,22.9,A
365,2000-06,25.8,A
366,2000-07,21.5,A
367,2000-08,21.4,A
368,2000-09,20.4,A
369,2000-10,13.7,A
370,2000-11,13.6,A
371,2000-12,7.3,A
372,2001-01,3.6,A
373,2001-02,7.8,A
374,2001-03,4.4,A
375,2001-04,-0.1,A
376,2001-05,0.9,A
377,2001-06,-1.5,A
378,2001-07,-9.8,A
379,2001-08,-12.4,A
380,2001-09,-15.8,A
381,2001-10,-18.4,A
382,2001-11,-23.7,A
383,2001-12,-20.9,A
384,2002-01,-21.9,A
385,2002-02,-16.5,A
386,2002-03,-17.6,A
387,2002-04,-15.7,A
388,2002-05,-12.6,A
389,2002-06,-15.5,A
390,2002-07,-21.5,A
391,2002-08,-18.9,A
392,2002-09,-16.2,A
393,2002-10,-19.4,A
394,2002-11,-18.5,A
395,2002-12,-12.3,A
396,2003-01,-18.3,A
397,2003-02,-18.0,A
398,2003-03,-23.6,A
399,2003-04,-26.6,A
400,2003-05,-28.9,A
401,2003-06,-31.2,A
402,2003-07,-24.8,A
403,2003-08,-27.2,A
404,2003-09,-29.2,A
405,2003-10,-21.3,A
406,2003-11,-19.8,A
407,2003-12,-18.0,A
408,2004-01,-19.9,A
409,2004-02,-21.0,A
410,2004-03,-14.8,A
411,2004-04,-16.0,A
412,2004-05,-14.2,A
413,2004-06,-13.2,A
414,2004-07,-14.2,A
415,2004-08,-13.5,A
416,2004-09,-13.3,A
417,2004-10,-15.2,A
418,2004-11,-15.2,A
419,2004-12,-13.4,A
420,2005-01,-14.2,A
421,2005-02,-15.7,A
422,2005-03,-22.2,A
423,2005-04,-21.2,A
424,2005-05,-23.6,A
425,2005-06,-19.5,A
426,2005-07,-17.6,A
427,2005-08,-19.1,A
428,2005-09,-21.2,A
429,2005-10,-15.1,A
430,2005-11,-17.5,A
431,2005-12,-12.8,A
432,2006-01,-12.4,A
433,2006-02,-8.7,A
434,2006-03,-7.7,A
435,2006-04,-5.8,A
436,2006-05,-2.3,A
437,2006-06,-4.6,A
438,2006-07,-1.5,A
439,2006-08,-3.2,A
440,2006-09,-4.6,A
441,2006-10,-6.9,A
442,2006-11,-3.9,A
443,2006-12,-5.5,A
444,2007-01,-4.8,A
445,2007-02,1.5,A
446,2007-03,3.7,A
447,2007-04,3.8,A
448,2007-05,1.6,A
449,2007-06,3.8,A
450,2007-07,4.4,A
451,2007-08,2.8,A
452,2007-09,1.5,A
453,2007-10,0.3,A
454,2007-11,3.9,A
455,2007-12,2.6,A
456,2008-01,0.7,A
457,2008-02,1.4,A
458,2008-03,2.0,A
459,2008-04,-4.0,A
460,2008-05,-8.7,A
461,2008-06,-9.6,A
462,2008-07,-14.2,A
463,2008-08,-14.0,A
464,2008-09,-23.6,A
465,2008-10,-31.0,A
466,2008-11,-44.0,A
467,2008-12,-57.1,A
468,2009-01,-51.5,A
469,2009-02,-59.5,A
470,2009-03,-65.2,A
471,2009-04,-59.6,A
472,2009-05,-62.0,A
473,2009-06,-64.8,A
474,2009-07,-59.1,A
475,2009-08,-54.4,A
476,2009-09,-54.8,A
477,2009-10,-52.8,A
478,2009-11,-53.0,A
479,2009-12,-51.1,A
480,2010-01,-45.4,A
481,2010-02,-47.1,A
482,2010-03,-42.0,A
483,2010-04,-38.2,A
484,2010-05,-34.0,A
485,2010-06,-32.8,A
486,2010-07,-29.8,A
487,2010-08,-27.0,A
488,2010-09,-20.4,A
489,2010-10,-22.9,A
490,2010-11,-23.0,A
491,2010-12,-16.5,A
492,2011-01,-9.6,A
493,2011-02,-15.7,A
494,2011-03,-4.5,A
495,2011-04,-4.6,A
496,2011-05,-10.5,A
497,2011-06,-7.4,A
498,2011-07,-12.5,A
499,2011-08,-14.3,A
500,2011-09,-17.9,A
501,2011-10,-19.6,A
502,2011-11,-17.1,A
503,2011-12,-25.1,A
504,2012-01,-25.6,A
505,2012-02,-22.8,A
506,2012-03,-22.0,A
507,2012-04,-23.5,A
508,2012-05,-26.0,A
509,2012-06,-26.9,A
510,2012-07,-27.2,A
511,2012-08,-27.1,A
512,2012-09,-25.2,A
513,2012-10,-36.6,A
514,2012-11,-28.5,A
515,2012-12,-31.6,A
516,2013-01,-29.2,A
517,2013-02,-31.8,A
518,2013-03,-34.3,A
519,2013-04,-40.4,A
520,2013-05,-31.1,A
521,2013-06,-29.4,A
522,2013-07,-25.8,A
523,2013-08,-22.3,A
524,2013-09,-25.5,A
525,2013-10,-23.5,A
526,2013-11,-22.2,A
527,2013-12,-21.1,A
528,2014-01,-19.3,A
529,2014-02,-21.5,A
530,2014-03,-19.9,A
531,2014-04,-18.1,A
532,2014-05,-23.2,A
533,2014-06,-27.1,A
534,2014-07,-24.0,A
535,2014-08,-22.7,A
536,2014-09,-22.8,A
537,2014-10,-22.1,A
538,2014-11,-19.9,A
539,2014-12,-20.7,A
540,2015-01,-22.1,A
541,2015-02,-24.5,A
542,2015-03,-20.3,A
543,2015-04,-18.2,A
544,2015-05,-20.3,A
545,2015-06,-21.6,A
546,2015-07,-18.1,A
547,2015-08,-11.8,A
548,2015-09,-14.3,A
549,2015-10,-14.4,A
550,2015-11,-15.7,A
551,2015-12,-11.6,A
552,2016-01,-12.2,A
553,2016-02,-13.3,A
554,2016-03,-14.0,A
555,2016-04,-10.2,A
556,2016-05,-13.2,A
557,2016-06,-13.4,A
558,2016-07,-13.0,A
559,2016-08,-15.0,A
560,2016-09,-12.9,A
561,2016-10,-14.1,A
562,2016-11,-14.7,A
563,2016-12,-9.7,A
564,2017-01,-11.0,A
565,2017-02,-7.8,A
566,2017-03,-9.0,A
567,2017-04,-5.4,A
568,2017-05,-5.5,A
569,2017-06,-2.8,A
570,2017-07,-2.4,A
571,2017-08,-2.8,A
572,2017-09,-0.3,A
573,2017-10,0.2,A
574,2017-11,0.4,A
575,2017-12,-1.0,A
576,2018-01,2.1,A
577,2018-02,1.8,A
578,2018-03,0.9,A
579,2018-04,1.1,A
580,2018-05,0.2,A
581,2018-06,-1.9,A
582,2018-07,-4.5,A
583,2018-08,-4.2,A
584,2018-09,-5.7,A
585,2018-10,-11.1,A
586,2018-11,-10.3,A
587,2018-12,-12.1,A
588,2019-01,-11.8,A
589,2019-02,-13.0,A
590,2019-03,-11.4,A
591,2019-04,-12.8,A
592,2019-05,-8.6,A
593,2019-06,-13.3,A
594,2019-07,-15.5,A
595,2019-08,-13.0,A
596,2019-09,-11.4,A
597,2019-10,-14.4,A
598,2019-11,-8.9,A
599,2019-12,-17.7,A
600,2020-01,-9.8,A
601,2020-02,-11.6,A
602,2020-03,-15.9,U
603,2020-04,-52.1,U
604,2020-05,-55.6,U
605,2020-06,-54.9,U
606,2020-07,-50.8,U
607,2020-08,-37.6,U
608,2020-09,-33.7,A
609,2020-10,-32.6,A
610,2020-11,-31.2,A
611,2020-12,-31.8,A
612,2021-01,-29.1,A
613,2021-02,-23.5,A
614,2021-03,-23.1,A
615,2021-04,-14.9,A
616,2021-05,-9.7,A
617,2021-06,-7.1,A
618,2021-07,-4.2,A
619,2021-08,-8.3,A
620,2021-09,-8.6,A
621,2021-10,-6.6,A
622,2021-11,-2.8,A
623,2021-12,-7.9,A
624,2022-01,-1.4,A
625,2022-02,1.4,A
626,2022-03,-3.0,A
627,2022-04,-1.3,A
628,2022-05,-1.9,A
629,2022-06,-0.8,A
630,2022-07,-4.7,A
631,2022-08,-9.8,A
632,2022-09,-12.6,A
633,2022-10,-11.6,A
634,2022-11,-15.5,A
635,2022-12,-15.6,A
