,Label,Monthly business survey in goods-producing industries - Manufacturing industry - Level of foreign order books (balance of opinion) - SA series,Codes
109,1979-02,0.8,A
110,1979-03,2.1,A
111,1979-04,2.0,A
112,1979-05,2.5,A
113,1979-06,5.5,A
114,1979-07,10.6,A
115,1979-08,10.1,A
116,1979-09,9.7,A
117,1979-10,10.2,A
118,1979-11,0.4,A
119,1979-12,4.0,A
120,1980-01,2.8,A
121,1980-02,1.1,A
122,1980-03,-2.5,A
123,1980-04,-4.4,A
124,1980-05,-11.7,A
125,1980-06,-19.1,A
126,1980-07,-28.1,A
127,1980-08,-30.2,A
128,1980-09,-33.0,A
129,1980-10,-34.3,A
130,1980-11,-31.6,A
131,1980-12,-34.4,A
132,1981-01,-31.1,A
133,1981-02,-32.5,A
134,1981-03,-31.4,A
135,1981-04,-32.1,A
136,1981-05,-31.6,A
137,1981-06,-28.5,A
138,1981-07,-32.7,A
139,1981-08,-29.6,A
140,1981-09,-27.5,A
141,1981-10,-29.2,A
142,1981-11,-26.6,A
143,1981-12,-30.8,A
144,1982-01,-27.0,A
145,1982-02,-16.2,A
146,1982-03,-25.5,A
147,1982-04,-25.3,A
148,1982-05,-25.1,A
149,1982-06,-22.9,A
150,1982-07,-20.1,A
151,1982-08,-23.5,A
152,1982-09,-27.5,A
153,1982-10,-28.7,A
154,1982-11,-30.4,A
155,1982-12,-19.5,A
156,1983-01,-27.4,A
157,1983-02,-27.0,A
158,1983-03,-27.3,A
159,1983-04,-30.0,A
160,1983-05,-29.1,A
161,1983-06,-27.8,A
162,1983-07,-26.0,A
163,1983-08,-26.0,A
164,1983-09,-26.5,A
165,1983-10,-16.7,A
166,1983-11,-12.8,A
167,1983-12,-15.7,A
168,1984-01,-13.8,A
169,1984-02,-14.9,A
170,1984-03,-13.7,A
171,1984-04,-10.1,A
172,1984-05,-10.5,A
173,1984-06,-15.4,A
174,1984-07,-10.4,A
175,1984-08,-11.6,A
176,1984-09,-12.8,A
177,1984-10,-10.6,A
178,1984-11,-16.1,A
179,1984-12,-14.6,A
180,1985-01,-17.1,A
181,1985-02,-9.3,A
182,1985-03,-14.2,A
183,1985-04,-15.8,A
184,1985-05,-13.4,A
185,1985-06,-8.7,A
186,1985-07,-13.1,A
187,1985-08,-13.0,A
188,1985-09,-12.9,A
189,1985-10,-15.1,A
190,1985-11,-16.7,A
191,1985-12,-14.0,A
192,1986-01,-13.9,A
193,1986-02,-13.5,A
194,1986-03,-7.3,A
195,1986-04,-19.6,A
196,1986-05,-14.5,A
197,1986-06,-17.9,A
198,1986-07,-19.9,A
199,1986-08,-16.7,A
200,1986-09,-13.3,A
201,1986-10,-21.2,A
202,1986-11,-18.7,A
203,1986-12,-17.1,A
204,1987-01,-22.6,A
205,1987-02,-19.7,A
206,1987-03,-18.4,A
207,1987-04,-13.1,A
208,1987-05,-12.2,A
209,1987-06,-10.4,A
210,1987-07,-9.7,A
211,1987-08,-8.5,A
212,1987-09,-6.4,A
213,1987-10,-6.7,A
214,1987-11,-2.7,A
215,1987-12,-3.1,A
216,1988-01,-0.5,A
217,1988-02,7.5,A
218,1988-03,2.1,A
219,1988-04,6.8,A
220,1988-05,3.9,A
221,1988-06,4.4,A
222,1988-07,8.9,A
223,1988-08,11.0,A
224,1988-09,14.0,A
225,1988-10,11.2,A
226,1988-11,19.8,A
227,1988-12,25.1,A
228,1989-01,19.6,A
229,1989-02,17.2,A
230,1989-03,14.1,A
231,1989-04,12.2,A
232,1989-05,14.8,A
233,1989-06,12.3,A
234,1989-07,15.2,A
235,1989-08,10.1,A
236,1989-09,5.8,A
237,1989-10,4.7,A
238,1989-11,4.0,A
239,1989-12,4.2,A
240,1990-01,6.8,A
241,1990-02,1.6,A
242,1990-03,-2.8,A
243,1990-04,-3.0,A
244,1990-05,-3.8,A
245,1990-06,-8.3,A
246,1990-07,-8.8,A
247,1990-08,-12.3,A
248,1990-09,-15.7,A
249,1990-10,-18.5,A
250,1990-11,-25.2,A
251,1990-12,-31.1,A
252,1991-01,-29.3,A
253,1991-02,-37.8,A
254,1991-03,-35.5,A
255,1991-04,-29.9,A
256,1991-05,-34.2,A
257,1991-06,-30.6,A
258,1991-07,-31.3,A
259,1991-08,-28.4,A
260,1991-09,-25.3,A
261,1991-10,-30.0,A
262,1991-11,-29.6,A
263,1991-12,-37.1,A
264,1992-01,-37.8,A
265,1992-02,-23.4,A
266,1992-03,-29.6,A
267,1992-04,-36.7,A
268,1992-05,-26.3,A
269,1992-06,-27.2,A
270,1992-07,-24.5,A
271,1992-08,-26.9,A
272,1992-09,-29.2,A
273,1992-10,-37.9,A
274,1992-11,-42.0,A
275,1992-12,-49.0,A
276,1993-01,-54.2,A
277,1993-02,-55.3,A
278,1993-03,-55.3,A
279,1993-04,-57.2,A
280,1993-05,-57.0,A
281,1993-06,-58.7,A
282,1993-07,-56.7,A
283,1993-08,-55.9,A
284,1993-09,-55.0,A
285,1993-10,-52.2,A
286,1993-11,-48.6,A
287,1993-12,-47.4,A
288,1994-01,-46.1,A
289,1994-02,-40.5,A
290,1994-03,-29.7,A
291,1994-04,-17.9,A
292,1994-05,-16.6,A
293,1994-06,-15.0,A
294,1994-07,-9.2,A
295,1994-08,-7.4,A
296,1994-09,-5.5,A
297,1994-10,-6.5,A
298,1994-11,-8.5,A
299,1994-12,-3.0,A
300,1995-01,0.9,A
301,1995-02,-2.1,A
302,1995-03,-5.8,A
303,1995-04,-4.8,A
304,1995-05,-4.0,A
305,1995-06,-12.0,A
306,1995-07,-15.0,A
307,1995-08,-16.2,A
308,1995-09,-17.4,A
309,1995-10,-22.2,A
310,1995-11,-22.3,A
311,1995-12,-26.9,A
312,1996-01,-31.6,A
313,1996-02,-30.4,A
314,1996-03,-30.6,A
315,1996-04,-27.5,A
316,1996-05,-26.2,A
317,1996-06,-32.8,A
318,1996-07,-25.1,A
319,1996-08,-21.4,A
320,1996-09,-17.8,A
321,1996-10,-20.2,A
322,1996-11,-12.6,A
323,1996-12,-14.0,A
324,1997-01,-17.3,A
325,1997-02,-11.8,A
326,1997-03,-6.2,A
327,1997-04,-9.1,A
328,1997-05,-2.7,A
329,1997-06,6.1,A
330,1997-07,2.7,A
331,1997-08,10.9,A
332,1997-09,19.2,A
333,1997-10,8.9,A
334,1997-11,17.9,A
335,1997-12,18.5,A
336,1998-01,9.6,A
337,1998-02,11.0,A
338,1998-03,16.7,A
339,1998-04,8.8,A
340,1998-05,9.9,A
341,1998-06,11.2,A
342,1998-07,9.8,A
343,1998-08,8.2,A
344,1998-09,6.7,A
345,1998-10,-3.4,A
346,1998-11,-9.2,A
347,1998-12,-10.8,A
348,1999-01,-8.8,A
349,1999-02,-13.5,A
350,1999-03,-22.5,A
351,1999-04,-20.0,A
352,1999-05,-9.2,A
353,1999-06,-14.9,A
354,1999-07,-6.3,A
355,1999-08,-1.0,A
356,1999-09,4.2,A
357,1999-10,1.2,A
358,1999-11,9.4,A
359,1999-12,10.3,A
360,2000-01,7.4,A
361,2000-02,14.9,A
362,2000-03,18.7,A
363,2000-04,13.4,A
364,2000-05,21.8,A
365,2000-06,26.8,A
366,2000-07,21.7,A
367,2000-08,21.5,A
368,2000-09,21.3,A
369,2000-10,14.6,A
370,2000-11,13.3,A
371,2000-12,6.3,A
372,2001-01,8.4,A
373,2001-02,11.3,A
374,2001-03,5.7,A
375,2001-04,-3.1,A
376,2001-05,1.6,A
377,2001-06,-2.4,A
378,2001-07,-12.4,A
379,2001-08,-16.2,A
380,2001-09,-20.0,A
381,2001-10,-16.4,A
382,2001-11,-22.6,A
383,2001-12,-21.3,A
384,2002-01,-19.9,A
385,2002-02,-21.2,A
386,2002-03,-21.3,A
387,2002-04,-17.6,A
388,2002-05,-10.5,A
389,2002-06,-14.5,A
390,2002-07,-17.4,A
391,2002-08,-18.4,A
392,2002-09,-19.4,A
393,2002-10,-22.3,A
394,2002-11,-19.0,A
395,2002-12,-11.4,A
396,2003-01,-17.4,A
397,2003-02,-14.0,A
398,2003-03,-27.5,A
399,2003-04,-29.7,A
400,2003-05,-26.2,A
401,2003-06,-32.0,A
402,2003-07,-28.3,A
403,2003-08,-26.6,A
404,2003-09,-24.8,A
405,2003-10,-25.8,A
406,2003-11,-14.3,A
407,2003-12,-8.7,A
408,2004-01,-14.4,A
409,2004-02,-17.4,A
410,2004-03,-9.9,A
411,2004-04,-7.9,A
412,2004-05,-11.5,A
413,2004-06,-8.4,A
414,2004-07,-9.2,A
415,2004-08,-8.8,A
416,2004-09,-8.4,A
417,2004-10,-11.5,A
418,2004-11,-13.5,A
419,2004-12,-11.9,A
420,2005-01,-12.3,A
421,2005-02,-12.4,A
422,2005-03,-18.8,A
423,2005-04,-20.8,A
424,2005-05,-19.7,A
425,2005-06,-15.8,A
426,2005-07,-15.2,A
427,2005-08,-15.1,A
428,2005-09,-15.0,A
429,2005-10,-12.8,A
430,2005-11,-8.9,A
431,2005-12,-6.7,A
432,2006-01,-7.0,A
433,2006-02,4.2,A
434,2006-03,-1.2,A
435,2006-04,0.1,A
436,2006-05,4.4,A
437,2006-06,6.3,A
438,2006-07,5.9,A
439,2006-08,3.0,A
440,2006-09,-0.1,A
441,2006-10,-2.8,A
442,2006-11,1.3,A
443,2006-12,3.8,A
444,2007-01,-1.7,A
445,2007-02,7.5,A
446,2007-03,5.8,A
447,2007-04,6.4,A
448,2007-05,4.2,A
449,2007-06,3.4,A
450,2007-07,4.8,A
451,2007-08,6.1,A
452,2007-09,7.0,A
453,2007-10,-0.4,A
454,2007-11,2.7,A
455,2007-12,5.6,A
456,2008-01,-3.1,A
457,2008-02,2.0,A
458,2008-03,0.2,A
459,2008-04,-0.1,A
460,2008-05,-4.1,A
461,2008-06,-4.0,A
462,2008-07,-13.7,A
463,2008-08,-13.6,A
464,2008-09,-27.8,A
465,2008-10,-28.8,A
466,2008-11,-44.3,A
467,2008-12,-52.7,A
468,2009-01,-53.7,A
469,2009-02,-61.3,A
470,2009-03,-67.6,A
471,2009-04,-60.6,A
472,2009-05,-63.0,A
473,2009-06,-63.1,A
474,2009-07,-60.9,A
475,2009-08,-57.7,A
476,2009-09,-54.0,A
477,2009-10,-51.3,A
478,2009-11,-51.1,A
479,2009-12,-52.7,A
480,2010-01,-48.6,A
481,2010-02,-46.9,A
482,2010-03,-41.8,A
483,2010-04,-41.3,A
484,2010-05,-35.8,A
485,2010-06,-32.2,A
486,2010-07,-23.1,A
487,2010-08,-22.3,A
488,2010-09,-18.9,A
489,2010-10,-14.7,A
490,2010-11,-17.0,A
491,2010-12,-15.1,A
492,2011-01,-9.8,A
493,2011-02,-11.8,A
494,2011-03,-5.0,A
495,2011-04,-3.3,A
496,2011-05,-4.4,A
497,2011-06,0.2,A
498,2011-07,-7.0,A
499,2011-08,-13.3,A
500,2011-09,-14.2,A
501,2011-10,-15.0,A
502,2011-11,-16.6,A
503,2011-12,-17.7,A
504,2012-01,-20.4,A
505,2012-02,-21.1,A
506,2012-03,-12.8,A
507,2012-04,-19.2,A
508,2012-05,-18.3,A
509,2012-06,-20.0,A
510,2012-07,-25.1,A
511,2012-08,-20.8,A
512,2012-09,-20.9,A
513,2012-10,-28.2,A
514,2012-11,-24.5,A
515,2012-12,-29.2,A
516,2013-01,-30.3,A
517,2013-02,-26.0,A
518,2013-03,-24.0,A
519,2013-04,-26.2,A
520,2013-05,-21.9,A
521,2013-06,-24.3,A
522,2013-07,-23.0,A
523,2013-08,-18.0,A
524,2013-09,-20.0,A
525,2013-10,-18.7,A
526,2013-11,-21.0,A
527,2013-12,-16.7,A
528,2014-01,-14.8,A
529,2014-02,-18.7,A
530,2014-03,-10.2,A
531,2014-04,-15.0,A
532,2014-05,-19.2,A
533,2014-06,-21.7,A
534,2014-07,-18.0,A
535,2014-08,-14.8,A
536,2014-09,-17.3,A
537,2014-10,-18.5,A
538,2014-11,-14.9,A
539,2014-12,-13.0,A
540,2015-01,-14.1,A
541,2015-02,-15.8,A
542,2015-03,-11.6,A
543,2015-04,-7.0,A
544,2015-05,-9.3,A
545,2015-06,-11.8,A
546,2015-07,-8.7,A
547,2015-08,-7.0,A
548,2015-09,-6.1,A
549,2015-10,-8.6,A
550,2015-11,-9.6,A
551,2015-12,-5.9,A
552,2016-01,-6.1,A
553,2016-02,-6.8,A
554,2016-03,-8.1,A
555,2016-04,-5.8,A
556,2016-05,-8.1,A
557,2016-06,-9.1,A
558,2016-07,-8.9,A
559,2016-08,-9.4,A
560,2016-09,-11.3,A
561,2016-10,-10.7,A
562,2016-11,-10.8,A
563,2016-12,-8.4,A
564,2017-01,-4.0,A
565,2017-02,-2.7,A
566,2017-03,-4.7,A
567,2017-04,-1.2,A
568,2017-05,-2.4,A
569,2017-06,-1.4,A
570,2017-07,-1.0,A
571,2017-08,0.0,A
572,2017-09,0.4,A
573,2017-10,1.4,A
574,2017-11,0.1,A
575,2017-12,2.2,A
576,2018-01,3.5,A
577,2018-02,3.5,A
578,2018-03,1.8,A
579,2018-04,1.5,A
580,2018-05,-0.8,A
581,2018-06,-2.2,A
582,2018-07,-2.7,A
583,2018-08,-3.8,A
584,2018-09,-3.9,A
585,2018-10,-6.3,A
586,2018-11,-9.8,A
587,2018-12,-8.5,A
588,2019-01,-10.4,A
589,2019-02,-8.8,A
590,2019-03,-10.9,A
591,2019-04,-9.8,A
592,2019-05,-9.5,A
593,2019-06,-17.1,A
594,2019-07,-14.2,A
595,2019-08,-9.6,A
596,2019-09,-10.2,A
597,2019-10,-19.1,A
598,2019-11,-14.0,A
599,2019-12,-16.3,A
600,2020-01,-7.4,A
601,2020-02,-16.8,A
602,2020-03,-19.0,U
603,2020-04,-60.7,U
604,2020-05,-59.4,U
605,2020-06,-64.9,U
606,2020-07,-62.7,U
607,2020-08,-53.4,U
608,2020-09,-43.2,A
609,2020-10,-45.5,A
610,2020-11,-42.7,A
611,2020-12,-37.4,A
612,2021-01,-33.4,A
613,2021-02,-31.4,A
614,2021-03,-30.1,A
615,2021-04,-22.4,A
616,2021-05,-18.1,A
617,2021-06,-15.7,A
618,2021-07,-11.7,A
619,2021-08,-11.1,A
620,2021-09,-17.3,A
621,2021-10,-15.0,A
622,2021-11,-3.1,A
623,2021-12,-13.4,A
624,2022-01,2.2,A
625,2022-02,-1.9,A
626,2022-03,-1.4,A
627,2022-04,2.3,A
628,2022-05,-3.4,A
629,2022-06,-2.3,A
630,2022-07,-4.8,A
631,2022-08,-7.7,A
632,2022-09,-12.5,A
633,2022-10,-7.9,A
634,2022-11,-10.5,A
635,2022-12,-16.7,A
