,Label,"SA-WDA industrial production index (base 100 in 2015) - Manufacturing (NAF rev. 2, level A10, item CZ)",Codes
128,1980-09,,
129,1980-10,,
130,1980-11,,
131,1980-12,,
132,1981-01,,
133,1981-02,,
134,1981-03,,
135,1981-04,,
136,1981-05,,
137,1981-06,,
138,1981-07,,
139,1981-08,,
140,1981-09,,
141,1981-10,,
142,1981-11,,
143,1981-12,,
144,1982-01,,
145,1982-02,,
146,1982-03,,
147,1982-04,,
148,1982-05,,
149,1982-06,,
150,1982-07,,
151,1982-08,,
152,1982-09,,
153,1982-10,,
154,1982-11,,
155,1982-12,,
156,1983-01,,
157,1983-02,,
158,1983-03,,
159,1983-04,,
160,1983-05,,
161,1983-06,,
162,1983-07,,
163,1983-08,,
164,1983-09,,
165,1983-10,,
166,1983-11,,
167,1983-12,,
168,1984-01,,
169,1984-02,,
170,1984-03,,
171,1984-04,,
172,1984-05,,
173,1984-06,,
174,1984-07,,
175,1984-08,,
176,1984-09,,
177,1984-10,,
178,1984-11,,
179,1984-12,,
180,1985-01,,
181,1985-02,,
182,1985-03,,
183,1985-04,,
184,1985-05,,
185,1985-06,,
186,1985-07,,
187,1985-08,,
188,1985-09,,
189,1985-10,,
190,1985-11,,
191,1985-12,,
192,1986-01,,
193,1986-02,,
194,1986-03,,
195,1986-04,,
196,1986-05,,
197,1986-06,,
198,1986-07,,
199,1986-08,,
200,1986-09,,
201,1986-10,,
202,1986-11,,
203,1986-12,,
204,1987-01,,
205,1987-02,,
206,1987-03,,
207,1987-04,,
208,1987-05,,
209,1987-06,,
210,1987-07,,
211,1987-08,,
212,1987-09,,
213,1987-10,,
214,1987-11,,
215,1987-12,,
216,1988-01,,
217,1988-02,,
218,1988-03,,
219,1988-04,,
220,1988-05,,
221,1988-06,,
222,1988-07,,
223,1988-08,,
224,1988-09,,
225,1988-10,,
226,1988-11,,
227,1988-12,,
228,1989-01,,
229,1989-02,,
230,1989-03,,
231,1989-04,,
232,1989-05,,
233,1989-06,,
234,1989-07,,
235,1989-08,,
236,1989-09,,
237,1989-10,,
238,1989-11,,
239,1989-12,,
240,1990-01,94.01,A
241,1990-02,96.45,A
242,1990-03,95.44,A
243,1990-04,94.84,A
244,1990-05,95.73,A
245,1990-06,93.78,A
246,1990-07,93.92,A
247,1990-08,93.15,A
248,1990-09,93.91,A
249,1990-10,94.05,A
250,1990-11,92.15,A
251,1990-12,92.72,A
252,1991-01,94.67,A
253,1991-02,92.98,A
254,1991-03,93.5,A
255,1991-04,92.81,A
256,1991-05,91.71,A
257,1991-06,93.17,A
258,1991-07,91.41,A
259,1991-08,92.65,A
260,1991-09,93.13,A
261,1991-10,92.16,A
262,1991-11,93.48,A
263,1991-12,92.39,A
264,1992-01,92.82,A
265,1992-02,92.25,A
266,1992-03,93.16,A
267,1992-04,92.22,A
268,1992-05,92.48,A
269,1992-06,91.31,A
270,1992-07,90.85,A
271,1992-08,91.15,A
272,1992-09,89.72,A
273,1992-10,90.07,A
274,1992-11,89.56,A
275,1992-12,88.07,A
276,1993-01,88.29,A
277,1993-02,87.49,A
278,1993-03,87.0,A
279,1993-04,87.06,A
280,1993-05,86.75,A
281,1993-06,85.82,A
282,1993-07,87.26,A
283,1993-08,86.5,A
284,1993-09,86.85,A
285,1993-10,87.29,A
286,1993-11,85.56,A
287,1993-12,85.89,A
288,1994-01,87.75,A
289,1994-02,87.32,A
290,1994-03,87.85,A
291,1994-04,89.18,A
292,1994-05,89.99,A
293,1994-06,90.33,A
294,1994-07,91.28,A
295,1994-08,91.79,A
296,1994-09,91.44,A
297,1994-10,92.65,A
298,1994-11,94.14,A
299,1994-12,93.69,A
300,1995-01,93.8,A
301,1995-02,94.19,A
302,1995-03,93.58,A
303,1995-04,93.89,A
304,1995-05,93.22,A
305,1995-06,93.99,A
306,1995-07,94.41,A
307,1995-08,93.64,A
308,1995-09,94.21,A
309,1995-10,93.11,A
310,1995-11,92.25,A
311,1995-12,94.52,A
312,1996-01,93.51,A
313,1996-02,92.79,A
314,1996-03,93.8,A
315,1996-04,93.24,A
316,1996-05,94.77,A
317,1996-06,94.33,A
318,1996-07,92.4,A
319,1996-08,95.01,A
320,1996-09,94.72,A
321,1996-10,93.81,A
322,1996-11,95.0,A
323,1996-12,94.91,A
324,1997-01,93.98,A
325,1997-02,95.75,A
326,1997-03,96.8,A
327,1997-04,99.67,A
328,1997-05,97.5,A
329,1997-06,98.24,A
330,1997-07,98.4,A
331,1997-08,102.52,A
332,1997-09,100.15,A
333,1997-10,102.81,A
334,1997-11,100.54,A
335,1997-12,102.67,A
336,1998-01,102.8,A
337,1998-02,103.36,A
338,1998-03,101.79,A
339,1998-04,102.99,A
340,1998-05,104.6,A
341,1998-06,103.86,A
342,1998-07,104.97,A
343,1998-08,102.35,A
344,1998-09,104.04,A
345,1998-10,103.68,A
346,1998-11,104.03,A
347,1998-12,103.27,A
348,1999-01,104.45,A
349,1999-02,103.03,A
350,1999-03,103.45,A
351,1999-04,104.54,A
352,1999-05,105.18,A
353,1999-06,106.35,A
354,1999-07,106.56,A
355,1999-08,104.25,A
356,1999-09,107.41,A
357,1999-10,109.01,A
358,1999-11,108.92,A
359,1999-12,108.02,A
360,2000-01,108.75,A
361,2000-02,109.23,A
362,2000-03,109.83,A
363,2000-04,110.45,A
364,2000-05,112.2,A
365,2000-06,110.57,A
366,2000-07,111.77,A
367,2000-08,110.48,A
368,2000-09,111.18,A
369,2000-10,112.37,A
370,2000-11,112.28,A
371,2000-12,113.88,A
372,2001-01,112.92,A
373,2001-02,113.68,A
374,2001-03,114.22,A
375,2001-04,111.7,A
376,2001-05,112.69,A
377,2001-06,112.89,A
378,2001-07,110.96,A
379,2001-08,113.96,A
380,2001-09,111.63,A
381,2001-10,111.76,A
382,2001-11,109.52,A
383,2001-12,109.79,A
384,2002-01,110.68,A
385,2002-02,111.64,A
386,2002-03,111.93,A
387,2002-04,112.51,A
388,2002-05,110.88,A
389,2002-06,110.81,A
390,2002-07,109.65,A
391,2002-08,112.27,A
392,2002-09,110.31,A
393,2002-10,109.38,A
394,2002-11,110.92,A
395,2002-12,107.73,A
396,2003-01,109.74,A
397,2003-02,110.09,A
398,2003-03,110.62,A
399,2003-04,110.44,A
400,2003-05,107.5,A
401,2003-06,107.01,A
402,2003-07,108.97,A
403,2003-08,108.52,A
404,2003-09,108.39,A
405,2003-10,110.36,A
406,2003-11,108.56,A
407,2003-12,109.2,A
408,2004-01,109.85,A
409,2004-02,111.33,A
410,2004-03,110.37,A
411,2004-04,110.74,A
412,2004-05,109.95,A
413,2004-06,111.41,A
414,2004-07,112.01,A
415,2004-08,107.49,A
416,2004-09,111.65,A
417,2004-10,112.4,A
418,2004-11,110.13,A
419,2004-12,110.54,A
420,2005-01,112.89,A
421,2005-02,110.8,A
422,2005-03,108.46,A
423,2005-04,111.77,A
424,2005-05,110.16,A
425,2005-06,110.11,A
426,2005-07,110.04,A
427,2005-08,108.86,A
428,2005-09,112.39,A
429,2005-10,109.07,A
430,2005-11,113.31,A
431,2005-12,111.82,A
432,2006-01,110.89,A
433,2006-02,110.38,A
434,2006-03,112.7,A
435,2006-04,111.31,A
436,2006-05,114.22,A
437,2006-06,114.02,A
438,2006-07,112.09,A
439,2006-08,111.28,A
440,2006-09,113.31,A
441,2006-10,112.59,A
442,2006-11,111.85,A
443,2006-12,114.02,A
444,2007-01,112.9,A
445,2007-02,113.87,A
446,2007-03,114.44,A
447,2007-04,113.01,A
448,2007-05,115.61,A
449,2007-06,114.58,A
450,2007-07,114.75,A
451,2007-08,115.43,A
452,2007-09,112.27,A
453,2007-10,114.87,A
454,2007-11,113.4,A
455,2007-12,113.52,A
456,2008-01,115.02,A
457,2008-02,116.21,A
458,2008-03,114.16,A
459,2008-04,115.79,A
460,2008-05,110.99,A
461,2008-06,110.38,A
462,2008-07,111.2,A
463,2008-08,109.59,A
464,2008-09,109.0,A
465,2008-10,107.06,A
466,2008-11,100.66,A
467,2008-12,99.19,A
468,2009-01,94.74,A
469,2009-02,93.52,A
470,2009-03,92.07,A
471,2009-04,92.07,A
472,2009-05,93.39,A
473,2009-06,95.08,A
474,2009-07,94.62,A
475,2009-08,96.11,A
476,2009-09,96.95,A
477,2009-10,96.17,A
478,2009-11,97.53,A
479,2009-12,96.38,A
480,2010-01,96.9,A
481,2010-02,96.36,A
482,2010-03,98.56,A
483,2010-04,98.45,A
484,2010-05,99.02,A
485,2010-06,98.82,A
486,2010-07,99.51,A
487,2010-08,98.29,A
488,2010-09,99.73,A
489,2010-10,99.43,A
490,2010-11,100.6,A
491,2010-12,101.51,A
492,2011-01,103.82,A
493,2011-02,104.77,A
494,2011-03,103.34,A
495,2011-04,101.97,A
496,2011-05,105.31,A
497,2011-06,101.35,A
498,2011-07,102.81,A
499,2011-08,101.69,A
500,2011-09,101.04,A
501,2011-10,101.26,A
502,2011-11,103.96,A
503,2011-12,101.86,A
504,2012-01,101.03,A
505,2012-02,99.94,A
506,2012-03,101.33,A
507,2012-04,99.81,A
508,2012-05,99.64,A
509,2012-06,98.72,A
510,2012-07,99.75,A
511,2012-08,102.13,A
512,2012-09,99.43,A
513,2012-10,97.49,A
514,2012-11,97.14,A
515,2012-12,98.65,A
516,2013-01,98.08,A
517,2013-02,98.58,A
518,2013-03,98.79,A
519,2013-04,100.38,A
520,2013-05,100.34,A
521,2013-06,99.71,A
522,2013-07,98.78,A
523,2013-08,97.83,A
524,2013-09,98.71,A
525,2013-10,99.12,A
526,2013-11,100.02,A
527,2013-12,99.4,A
528,2014-01,98.33,A
529,2014-02,99.96,A
530,2014-03,99.52,A
531,2014-04,99.72,A
532,2014-05,96.83,A
533,2014-06,99.19,A
534,2014-07,100.1,A
535,2014-08,98.1,A
536,2014-09,99.23,A
537,2014-10,97.97,A
538,2014-11,96.85,A
539,2014-12,99.62,A
540,2015-01,98.99,A
541,2015-02,99.25,A
542,2015-03,99.88,A
543,2015-04,99.49,A
544,2015-05,100.77,A
545,2015-06,100.24,A
546,2015-07,98.78,A
547,2015-08,100.24,A
548,2015-09,101.32,A
549,2015-10,100.36,A
550,2015-11,99.69,A
551,2015-12,100.98,A
552,2016-01,102.09,A
553,2016-02,100.78,A
554,2016-03,99.47,A
555,2016-04,100.72,A
556,2016-05,99.75,A
557,2016-06,99.05,A
558,2016-07,99.48,A
559,2016-08,101.43,A
560,2016-09,100.21,A
561,2016-10,99.12,A
562,2016-11,102.39,A
563,2016-12,100.82,A
564,2017-01,100.1,A
565,2017-02,100.75,A
566,2017-03,102.48,A
567,2017-04,101.45,A
568,2017-05,103.84,A
569,2017-06,102.84,A
570,2017-07,103.27,A
571,2017-08,103.5,A
572,2017-09,103.98,A
573,2017-10,105.36,A
574,2017-11,105.09,A
575,2017-12,106.24,A
576,2018-01,102.91,A
577,2018-02,102.35,A
578,2018-03,103.98,A
579,2018-04,104.46,A
580,2018-05,102.89,A
581,2018-06,104.82,A
582,2018-07,104.27,A
583,2018-08,104.81,A
584,2018-09,103.64,A
585,2018-10,104.75,A
586,2018-11,103.58,A
587,2018-12,105.32,A
588,2019-01,105.25,A
589,2019-02,105.74,A
590,2019-03,105.58,A
591,2019-04,105.72,A
592,2019-05,106.64,A
593,2019-06,104.26,A
594,2019-07,104.58,A
595,2019-08,103.72,A
596,2019-09,105.04,A
597,2019-10,104.82,A
598,2019-11,103.76,A
599,2019-12,102.11,A
600,2020-01,102.46,A
601,2020-02,104.51,A
602,2020-03,84.08,A
603,2020-04,65.66,A
604,2020-05,79.65,A
605,2020-06,91.06,A
606,2020-07,95.18,A
607,2020-08,95.25,A
608,2020-09,97.87,A
609,2020-10,99.1,A
610,2020-11,99.02,A
611,2020-12,97.98,A
612,2021-01,100.92,A
613,2021-02,96.57,A
614,2021-03,97.95,A
615,2021-04,98.23,A
616,2021-05,97.3,A
617,2021-06,97.77,A
618,2021-07,98.7,A
619,2021-08,98.44,A
620,2021-09,97.22,A
621,2021-10,99.09,A
622,2021-11,97.38,A
623,2021-12,98.13,A
624,2022-01,100.33,A
625,2022-02,99.23,A
626,2022-03,98.98,A
627,2022-04,98.45,A
628,2022-05,99.38,A
629,2022-06,100.5,A
630,2022-07,98.8,A
631,2022-08,101.85,A
632,2022-09,101.2,A
633,2022-10,99.09,A
634,2022-11,101.49,A
635,2022-12,,
