,Label,Monthly economic outlook survey in the building industry - Utilisation rate of production capacities in % - Overall - SA series,Codes
117,1979-10,86.4,A
118,1979-11,,O
119,1979-12,,O
120,1980-01,86.5,A
121,1980-02,,O
122,1980-03,,O
123,1980-04,86.5,A
124,1980-05,,O
125,1980-06,,O
126,1980-07,86.5,A
127,1980-08,,O
128,1980-09,,O
129,1980-10,86.3,A
130,1980-11,,O
131,1980-12,,O
132,1981-01,86.5,A
133,1981-02,,O
134,1981-03,,O
135,1981-04,86.6,A
136,1981-05,,O
137,1981-06,,O
138,1981-07,86.1,A
139,1981-08,,O
140,1981-09,,O
141,1981-10,85.5,A
142,1981-11,,O
143,1981-12,,O
144,1982-01,84.7,A
145,1982-02,,O
146,1982-03,,O
147,1982-04,83.9,A
148,1982-05,,O
149,1982-06,,O
150,1982-07,84.0,A
151,1982-08,,O
152,1982-09,,O
153,1982-10,84.0,A
154,1982-11,,O
155,1982-12,,O
156,1983-01,84.0,A
157,1983-02,,O
158,1983-03,,O
159,1983-04,84.0,A
160,1983-05,,O
161,1983-06,,O
162,1983-07,83.5,A
163,1983-08,,O
164,1983-09,,O
165,1983-10,83.3,A
166,1983-11,,O
167,1983-12,,O
168,1984-01,82.7,A
169,1984-02,,O
170,1984-03,,O
171,1984-04,82.2,A
172,1984-05,,O
173,1984-06,,O
174,1984-07,82.1,A
175,1984-08,,O
176,1984-09,,O
177,1984-10,82.6,A
178,1984-11,,O
179,1984-12,,O
180,1985-01,83.5,A
181,1985-02,,O
182,1985-03,,O
183,1985-04,84.2,A
184,1985-05,,O
185,1985-06,,O
186,1985-07,84.7,A
187,1985-08,,O
188,1985-09,,O
189,1985-10,84.6,A
190,1985-11,,O
191,1985-12,,O
192,1986-01,84.6,A
193,1986-02,,O
194,1986-03,,O
195,1986-04,84.9,A
196,1986-05,,O
197,1986-06,,O
198,1986-07,86.0,A
199,1986-08,,O
200,1986-09,,O
201,1986-10,86.0,A
202,1986-11,,O
203,1986-12,,O
204,1987-01,86.0,A
205,1987-02,,O
206,1987-03,,O
207,1987-04,86.3,A
208,1987-05,,O
209,1987-06,,O
210,1987-07,86.7,A
211,1987-08,,O
212,1987-09,,O
213,1987-10,87.5,A
214,1987-11,,O
215,1987-12,,O
216,1988-01,88.2,A
217,1988-02,,O
218,1988-03,,O
219,1988-04,89.3,A
220,1988-05,,O
221,1988-06,,O
222,1988-07,88.9,A
223,1988-08,,O
224,1988-09,,O
225,1988-10,89.1,A
226,1988-11,,O
227,1988-12,,O
228,1989-01,89.6,A
229,1989-02,,O
230,1989-03,,O
231,1989-04,89.3,A
232,1989-05,,O
233,1989-06,,O
234,1989-07,89.6,A
235,1989-08,,O
236,1989-09,,O
237,1989-10,89.9,A
238,1989-11,,O
239,1989-12,,O
240,1990-01,90.3,A
241,1990-02,,O
242,1990-03,,O
243,1990-04,90.6,A
244,1990-05,,O
245,1990-06,,O
246,1990-07,90.5,A
247,1990-08,,O
248,1990-09,,O
249,1990-10,90.6,A
250,1990-11,,O
251,1990-12,,O
252,1991-01,90.5,A
253,1991-02,,O
254,1991-03,,O
255,1991-04,89.2,A
256,1991-05,,O
257,1991-06,,O
258,1991-07,89.3,A
259,1991-08,,O
260,1991-09,,O
261,1991-10,88.3,A
262,1991-11,,O
263,1991-12,,O
264,1992-01,87.3,A
265,1992-02,,O
266,1992-03,,O
267,1992-04,86.4,A
268,1992-05,,O
269,1992-06,,O
270,1992-07,85.8,A
271,1992-08,,O
272,1992-09,,O
273,1992-10,84.8,A
274,1992-11,,O
275,1992-12,,O
276,1993-01,84.3,A
277,1993-02,,O
278,1993-03,,O
279,1993-04,84.0,A
280,1993-05,,O
281,1993-06,,O
282,1993-07,83.0,A
283,1993-08,,O
284,1993-09,83.1,A
285,1993-10,82.5,A
286,1993-11,82.8,A
287,1993-12,82.6,A
288,1994-01,83.2,A
289,1994-02,83.6,A
290,1994-03,83.8,A
291,1994-04,83.8,A
292,1994-05,83.8,A
293,1994-06,83.6,A
294,1994-07,83.3,A
295,1994-08,83.8,A
296,1994-09,84.2,A
297,1994-10,84.7,A
298,1994-11,85.4,A
299,1994-12,85.0,A
300,1995-01,84.8,A
301,1995-02,84.7,A
302,1995-03,85.3,A
303,1995-04,85.7,A
304,1995-05,85.5,A
305,1995-06,85.7,A
306,1995-07,85.6,A
307,1995-08,85.5,A
308,1995-09,85.2,A
309,1995-10,85.2,A
310,1995-11,85.0,A
311,1995-12,84.8,A
312,1996-01,84.6,A
313,1996-02,84.0,A
314,1996-03,83.2,A
315,1996-04,83.2,A
316,1996-05,83.1,A
317,1996-06,82.8,A
318,1996-07,83.7,A
319,1996-08,83.7,A
320,1996-09,83.6,A
321,1996-10,84.2,A
322,1996-11,83.8,A
323,1996-12,83.3,A
324,1997-01,84.5,A
325,1997-02,85.1,A
326,1997-03,86.0,A
327,1997-04,85.0,A
328,1997-05,84.8,A
329,1997-06,86.1,A
330,1997-07,85.9,A
331,1997-08,86.1,A
332,1997-09,86.1,A
333,1997-10,86.1,A
334,1997-11,86.6,A
335,1997-12,86.3,A
336,1998-01,86.9,A
337,1998-02,86.8,A
338,1998-03,87.1,A
339,1998-04,87.1,A
340,1998-05,87.3,A
341,1998-06,87.3,A
342,1998-07,87.8,A
343,1998-08,87.7,A
344,1998-09,87.4,A
345,1998-10,85.6,A
346,1998-11,86.8,A
347,1998-12,87.2,A
348,1999-01,86.9,A
349,1999-02,87.7,A
350,1999-03,88.3,A
351,1999-04,88.3,A
352,1999-05,88.9,A
353,1999-06,88.7,A
354,1999-07,87.9,A
355,1999-08,88.5,A
356,1999-09,88.8,A
357,1999-10,89.1,A
358,1999-11,89.8,A
359,1999-12,90.4,A
360,2000-01,90.8,A
361,2000-02,90.9,A
362,2000-03,90.6,A
363,2000-04,91.2,A
364,2000-05,91.9,A
365,2000-06,93.7,A
366,2000-07,92.3,A
367,2000-08,93.2,A
368,2000-09,93.9,A
369,2000-10,94.2,A
370,2000-11,94.3,A
371,2000-12,94.0,A
372,2001-01,93.7,A
373,2001-02,93.7,A
374,2001-03,93.8,A
375,2001-04,93.7,A
376,2001-05,93.1,A
377,2001-06,93.1,A
378,2001-07,91.9,A
379,2001-08,92.1,A
380,2001-09,92.1,A
381,2001-10,93.1,A
382,2001-11,92.2,A
383,2001-12,92.2,A
384,2002-01,92.2,A
385,2002-02,91.9,A
386,2002-03,92.7,A
387,2002-04,92.7,A
388,2002-05,92.4,A
389,2002-06,92.4,A
390,2002-07,92.6,A
391,2002-08,92.4,A
392,2002-09,92.0,A
393,2002-10,91.8,A
394,2002-11,91.4,A
395,2002-12,91.4,A
396,2003-01,91.5,A
397,2003-02,91.3,A
398,2003-03,90.8,A
399,2003-04,90.9,A
400,2003-05,91.1,A
401,2003-06,90.7,A
402,2003-07,91.3,A
403,2003-08,91.3,A
404,2003-09,91.1,A
405,2003-10,91.1,A
406,2003-11,91.5,A
407,2003-12,91.4,A
408,2004-01,91.6,A
409,2004-02,91.7,A
410,2004-03,91.3,A
411,2004-04,91.3,A
412,2004-05,91.3,A
413,2004-06,91.4,A
414,2004-07,91.5,A
415,2004-08,91.7,A
416,2004-09,91.8,A
417,2004-10,91.8,A
418,2004-11,91.7,A
419,2004-12,91.8,A
420,2005-01,91.8,A
421,2005-02,91.8,A
422,2005-03,92.0,A
423,2005-04,91.8,A
424,2005-05,92.3,A
425,2005-06,92.4,A
426,2005-07,92.1,A
427,2005-08,92.1,A
428,2005-09,92.2,A
429,2005-10,92.5,A
430,2005-11,92.8,A
431,2005-12,92.5,A
432,2006-01,92.5,A
433,2006-02,92.3,A
434,2006-03,92.4,A
435,2006-04,92.4,A
436,2006-05,92.6,A
437,2006-06,92.9,A
438,2006-07,93.6,A
439,2006-08,93.6,A
440,2006-09,93.8,A
441,2006-10,93.7,A
442,2006-11,93.5,A
443,2006-12,93.6,A
444,2007-01,93.7,A
445,2007-02,93.7,A
446,2007-03,93.9,A
447,2007-04,93.9,A
448,2007-05,94.1,A
449,2007-06,94.0,A
450,2007-07,94.1,A
451,2007-08,93.9,A
452,2007-09,93.8,A
453,2007-10,93.9,A
454,2007-11,94.3,A
455,2007-12,94.4,A
456,2008-01,93.8,A
457,2008-02,94.3,A
458,2008-03,94.1,A
459,2008-04,93.8,A
460,2008-05,93.4,A
461,2008-06,93.3,A
462,2008-07,92.8,A
463,2008-08,92.8,A
464,2008-09,91.4,A
465,2008-10,91.2,A
466,2008-11,90.8,A
467,2008-12,88.8,A
468,2009-01,88.6,A
469,2009-02,84.1,A
470,2009-03,86.0,A
471,2009-04,88.1,A
472,2009-05,87.5,A
473,2009-06,87.6,A
474,2009-07,87.1,A
475,2009-08,87.4,A
476,2009-09,87.6,A
477,2009-10,87.4,A
478,2009-11,86.8,A
479,2009-12,85.3,A
480,2010-01,86.3,A
481,2010-02,86.4,A
482,2010-03,85.8,A
483,2010-04,85.5,A
484,2010-05,85.4,A
485,2010-06,86.4,A
486,2010-07,86.2,A
487,2010-08,86.4,A
488,2010-09,85.0,A
489,2010-10,85.7,A
490,2010-11,86.2,A
491,2010-12,87.4,A
492,2011-01,87.1,A
493,2011-02,87.3,A
494,2011-03,87.4,A
495,2011-04,87.8,A
496,2011-05,87.8,A
497,2011-06,87.6,A
498,2011-07,87.7,A
499,2011-08,87.4,A
500,2011-09,87.9,A
501,2011-10,88.4,A
502,2011-11,88.5,A
503,2011-12,88.3,A
504,2012-01,88.4,A
505,2012-02,88.2,A
506,2012-03,88.2,A
507,2012-04,88.1,A
508,2012-05,88.2,A
509,2012-06,87.9,A
510,2012-07,87.9,A
511,2012-08,87.5,A
512,2012-09,86.8,A
513,2012-10,85.7,A
514,2012-11,86.3,A
515,2012-12,86.2,A
516,2013-01,86.7,A
517,2013-02,86.6,A
518,2013-03,85.8,A
519,2013-04,85.7,A
520,2013-05,85.9,A
521,2013-06,85.9,A
522,2013-07,85.8,A
523,2013-08,86.0,A
524,2013-09,86.5,A
525,2013-10,86.1,A
526,2013-11,85.8,A
527,2013-12,86.9,A
528,2014-01,86.2,A
529,2014-02,86.1,A
530,2014-03,86.1,A
531,2014-04,86.0,A
532,2014-05,85.5,A
533,2014-06,85.2,A
534,2014-07,84.9,A
535,2014-08,85.1,A
536,2014-09,85.0,A
537,2014-10,84.7,A
538,2014-11,84.5,A
539,2014-12,84.5,A
540,2015-01,84.0,A
541,2015-02,83.9,A
542,2015-03,84.0,A
543,2015-04,83.8,A
544,2015-05,84.0,A
545,2015-06,84.5,A
546,2015-07,84.6,A
547,2015-08,84.4,A
548,2015-09,84.4,A
549,2015-10,84.8,A
550,2015-11,84.8,A
551,2015-12,84.9,A
552,2016-01,85.1,A
553,2016-02,85.7,A
554,2016-03,85.4,A
555,2016-04,85.5,A
556,2016-05,85.6,A
557,2016-06,85.8,A
558,2016-07,86.1,A
559,2016-08,87.0,A
560,2016-09,86.6,A
561,2016-10,86.8,A
562,2016-11,87.0,A
563,2016-12,87.2,A
564,2017-01,87.1,A
565,2017-02,87.3,A
566,2017-03,87.5,A
567,2017-04,87.6,A
568,2017-05,87.9,A
569,2017-06,87.8,A
570,2017-07,88.2,A
571,2017-08,88.2,A
572,2017-09,88.1,A
573,2017-10,88.8,A
574,2017-11,89.3,A
575,2017-12,90.0,A
576,2018-01,89.5,A
577,2018-02,89.3,A
578,2018-03,89.2,A
579,2018-04,89.6,A
580,2018-05,89.8,A
581,2018-06,90.1,A
582,2018-07,90.0,A
583,2018-08,90.2,A
584,2018-09,90.3,A
585,2018-10,90.3,A
586,2018-11,90.1,A
587,2018-12,90.6,A
588,2019-01,91.1,A
589,2019-02,91.4,A
590,2019-03,91.6,A
591,2019-04,91.7,A
592,2019-05,91.6,A
593,2019-06,91.7,A
594,2019-07,91.2,A
595,2019-08,91.6,A
596,2019-09,91.7,A
597,2019-10,91.7,A
598,2019-11,91.9,A
599,2019-12,91.7,A
600,2020-01,91.5,A
601,2020-02,92.0,A
602,2020-03,91.6,U
603,2020-04,91.5,U
604,2020-05,87.6,U
605,2020-06,87.8,U
606,2020-07,89.3,U
607,2020-08,89.7,U
608,2020-09,90.0,A
609,2020-10,90.5,A
610,2020-11,90.5,U
611,2020-12,86.8,U
612,2021-01,90.4,A
613,2021-02,90.3,A
614,2021-03,91.1,A
615,2021-04,91.0,A
616,2021-05,91.4,A
617,2021-06,91.4,A
618,2021-07,92.1,A
619,2021-08,92.1,A
620,2021-09,92.5,A
621,2021-10,92.5,A
622,2021-11,92.7,A
623,2021-12,93.0,A
624,2022-01,93.0,A
625,2022-02,92.7,A
626,2022-03,92.4,A
627,2022-04,92.8,A
628,2022-05,92.6,A
629,2022-06,92.3,A
630,2022-07,92.5,A
631,2022-08,92.9,A
632,2022-09,92.1,A
633,2022-10,93.6,A
634,2022-11,93.0,A
635,2022-12,92.8,A
