,Label,Consumer price index - Base 2015 - All households - France - Manufactured products,Codes
131,1980-12,,
132,1981-01,,
133,1981-02,,
134,1981-03,,
135,1981-04,,
136,1981-05,,
137,1981-06,,
138,1981-07,,
139,1981-08,,
140,1981-09,,
141,1981-10,,
142,1981-11,,
143,1981-12,,
144,1982-01,,
145,1982-02,,
146,1982-03,,
147,1982-04,,
148,1982-05,,
149,1982-06,,
150,1982-07,,
151,1982-08,,
152,1982-09,,
153,1982-10,,
154,1982-11,,
155,1982-12,,
156,1983-01,,
157,1983-02,,
158,1983-03,,
159,1983-04,,
160,1983-05,,
161,1983-06,,
162,1983-07,,
163,1983-08,,
164,1983-09,,
165,1983-10,,
166,1983-11,,
167,1983-12,,
168,1984-01,,
169,1984-02,,
170,1984-03,,
171,1984-04,,
172,1984-05,,
173,1984-06,,
174,1984-07,,
175,1984-08,,
176,1984-09,,
177,1984-10,,
178,1984-11,,
179,1984-12,,
180,1985-01,,
181,1985-02,,
182,1985-03,,
183,1985-04,,
184,1985-05,,
185,1985-06,,
186,1985-07,,
187,1985-08,,
188,1985-09,,
189,1985-10,,
190,1985-11,,
191,1985-12,,
192,1986-01,,
193,1986-02,,
194,1986-03,,
195,1986-04,,
196,1986-05,,
197,1986-06,,
198,1986-07,,
199,1986-08,,
200,1986-09,,
201,1986-10,,
202,1986-11,,
203,1986-12,,
204,1987-01,,
205,1987-02,,
206,1987-03,,
207,1987-04,,
208,1987-05,,
209,1987-06,,
210,1987-07,,
211,1987-08,,
212,1987-09,,
213,1987-10,,
214,1987-11,,
215,1987-12,,
216,1988-01,,
217,1988-02,,
218,1988-03,,
219,1988-04,,
220,1988-05,,
221,1988-06,,
222,1988-07,,
223,1988-08,,
224,1988-09,,
225,1988-10,,
226,1988-11,,
227,1988-12,,
228,1989-01,,
229,1989-02,,
230,1989-03,,
231,1989-04,,
232,1989-05,,
233,1989-06,,
234,1989-07,,
235,1989-08,,
236,1989-09,,
237,1989-10,,
238,1989-11,,
239,1989-12,,
240,1990-01,91.96,A
241,1990-02,92.13,A
242,1990-03,92.54,A
243,1990-04,92.74,A
244,1990-05,92.91,A
245,1990-06,93.05,A
246,1990-07,93.26,A
247,1990-08,93.36,A
248,1990-09,93.35,A
249,1990-10,93.49,A
250,1990-11,93.69,A
251,1990-12,93.87,A
252,1991-01,94.32,A
253,1991-02,94.62,A
254,1991-03,94.86,A
255,1991-04,95.05,A
256,1991-05,95.27,A
257,1991-06,95.41,A
258,1991-07,95.64,A
259,1991-08,95.77,A
260,1991-09,95.95,A
261,1991-10,96.21,A
262,1991-11,96.4,A
263,1991-12,96.61,A
264,1992-01,96.51,A
265,1992-02,97.02,A
266,1992-03,97.47,A
267,1992-04,97.31,A
268,1992-05,97.32,A
269,1992-06,97.31,A
270,1992-07,97.28,A
271,1992-08,97.46,A
272,1992-09,97.87,A
273,1992-10,97.96,A
274,1992-11,97.93,A
275,1992-12,97.95,A
276,1993-01,97.83,A
277,1993-02,98.3,A
278,1993-03,98.87,A
279,1993-04,98.92,A
280,1993-05,98.9,A
281,1993-06,98.83,A
282,1993-07,98.41,A
283,1993-08,98.62,A
284,1993-09,99.01,A
285,1993-10,99.13,A
286,1993-11,99.0,A
287,1993-12,99.05,A
288,1994-01,98.62,A
289,1994-02,98.72,A
290,1994-03,99.19,A
291,1994-04,99.28,A
292,1994-05,99.34,A
293,1994-06,99.25,A
294,1994-07,98.9,A
295,1994-08,99.02,A
296,1994-09,99.45,A
297,1994-10,99.49,A
298,1994-11,99.36,A
299,1994-12,99.38,A
300,1995-01,98.85,A
301,1995-02,99.25,A
302,1995-03,99.81,A
303,1995-04,99.78,A
304,1995-05,99.78,A
305,1995-06,99.65,A
306,1995-07,99.3,A
307,1995-08,99.91,A
308,1995-09,100.58,A
309,1995-10,100.74,A
310,1995-11,100.71,A
311,1995-12,100.61,A
312,1996-01,99.89,A
313,1996-02,100.38,A
314,1996-03,101.38,A
315,1996-04,101.35,A
316,1996-05,101.34,A
317,1996-06,101.3,A
318,1996-07,100.53,A
319,1996-08,100.75,A
320,1996-09,101.18,A
321,1996-10,101.58,A
322,1996-11,100.98,A
323,1996-12,100.99,A
324,1997-01,99.94,A
325,1997-02,100.84,A
326,1997-03,101.39,A
327,1997-04,101.33,A
328,1997-05,101.19,A
329,1997-06,101.02,A
330,1997-07,100.03,A
331,1997-08,100.58,A
332,1997-09,101.06,A
333,1997-10,101.07,A
334,1997-11,101.02,A
335,1997-12,101.13,A
336,1998-01,99.72,A
337,1998-02,100.66,A
338,1998-03,101.22,A
339,1998-04,101.27,A
340,1998-05,101.19,A
341,1998-06,101.12,A
342,1998-07,99.89,A
343,1998-08,100.48,A
344,1998-09,101.04,A
345,1998-10,100.93,A
346,1998-11,100.79,A
347,1998-12,100.84,A
348,1999-01,99.41,A
349,1999-02,100.17,A
350,1999-03,100.8,A
351,1999-04,100.74,A
352,1999-05,100.73,A
353,1999-06,100.76,A
354,1999-07,99.38,A
355,1999-08,100.01,A
356,1999-09,100.47,A
357,1999-10,100.55,A
358,1999-11,100.44,A
359,1999-12,100.44,A
360,2000-01,99.85,A
361,2000-02,99.49,A
362,2000-03,100.56,A
363,2000-04,100.43,A
364,2000-05,100.47,A
365,2000-06,100.54,A
366,2000-07,99.21,A
367,2000-08,99.99,A
368,2000-09,100.64,A
369,2000-10,100.81,A
370,2000-11,100.77,A
371,2000-12,100.86,A
372,2001-01,99.93,A
373,2001-02,100.1,A
374,2001-03,101.06,A
375,2001-04,101.21,A
376,2001-05,101.37,A
377,2001-06,101.35,A
378,2001-07,100.09,A
379,2001-08,100.9,A
380,2001-09,101.5,A
381,2001-10,101.64,A
382,2001-11,101.37,A
383,2001-12,101.6,A
384,2002-01,100.84,A
385,2002-02,100.91,A
386,2002-03,101.83,A
387,2002-04,101.89,A
388,2002-05,102.05,A
389,2002-06,101.99,A
390,2002-07,100.85,A
391,2002-08,101.31,A
392,2002-09,102.01,A
393,2002-10,102.04,A
394,2002-11,101.91,A
395,2002-12,102.1,A
396,2003-01,100.61,A
397,2003-02,101.71,A
398,2003-03,102.16,A
399,2003-04,102.2,A
400,2003-05,102.27,A
401,2003-06,102.13,A
402,2003-07,100.83,A
403,2003-08,101.36,A
404,2003-09,102.26,A
405,2003-10,102.54,A
406,2003-11,102.26,A
407,2003-12,102.48,A
408,2004-01,100.71,A
409,2004-02,101.81,A
410,2004-03,102.28,A
411,2004-04,102.48,A
412,2004-05,102.54,A
413,2004-06,102.41,A
414,2004-07,100.82,A
415,2004-08,101.77,A
416,2004-09,102.43,A
417,2004-10,102.47,A
418,2004-11,102.42,A
419,2004-12,102.41,A
420,2005-01,100.9,A
421,2005-02,101.22,A
422,2005-03,102.05,A
423,2005-04,102.25,A
424,2005-05,102.21,A
425,2005-06,102.07,A
426,2005-07,100.14,A
427,2005-08,101.1,A
428,2005-09,101.89,A
429,2005-10,101.89,A
430,2005-11,101.82,A
431,2005-12,101.79,A
432,2006-01,100.6,A
433,2006-02,100.78,A
434,2006-03,101.45,A
435,2006-04,101.79,A
436,2006-05,101.87,A
437,2006-06,101.78,A
438,2006-07,99.81,A
439,2006-08,100.7,A
440,2006-09,101.39,A
441,2006-10,101.36,A
442,2006-11,101.45,A
443,2006-12,101.62,A
444,2007-01,100.21,A
445,2007-02,100.43,A
446,2007-03,101.45,A
447,2007-04,101.68,A
448,2007-05,101.82,A
449,2007-06,101.72,A
450,2007-07,99.9,A
451,2007-08,100.78,A
452,2007-09,101.44,A
453,2007-10,101.56,A
454,2007-11,101.8,A
455,2007-12,101.98,A
456,2008-01,100.48,A
457,2008-02,100.73,A
458,2008-03,101.95,A
459,2008-04,101.95,A
460,2008-05,101.97,A
461,2008-06,101.96,A
462,2008-07,99.98,A
463,2008-08,101.04,A
464,2008-09,102.01,A
465,2008-10,101.99,A
466,2008-11,102.08,A
467,2008-12,102.09,A
468,2009-01,100.52,A
469,2009-02,100.85,A
470,2009-03,102.08,A
471,2009-04,102.07,A
472,2009-05,102.13,A
473,2009-06,101.95,A
474,2009-07,100.14,A
475,2009-08,101.57,A
476,2009-09,101.9,A
477,2009-10,101.74,A
478,2009-11,101.68,A
479,2009-12,101.94,A
480,2010-01,100.03,A
481,2010-02,101.16,A
482,2010-03,101.96,A
483,2010-04,101.86,A
484,2010-05,101.85,A
485,2010-06,101.84,A
486,2010-07,100.18,A
487,2010-08,101.18,A
488,2010-09,101.94,A
489,2010-10,101.74,A
490,2010-11,101.58,A
491,2010-12,101.78,A
492,2011-01,100.22,A
493,2011-02,100.25,A
494,2011-03,101.51,A
495,2011-04,102.07,A
496,2011-05,102.01,A
497,2011-06,102.04,A
498,2011-07,99.41,A
499,2011-08,101.0,A
500,2011-09,102.09,A
501,2011-10,102.34,A
502,2011-11,102.35,A
503,2011-12,102.8,A
504,2012-01,100.84,A
505,2012-02,100.93,A
506,2012-03,102.78,A
507,2012-04,102.92,A
508,2012-05,103.02,A
509,2012-06,103.08,A
510,2012-07,100.32,A
511,2012-08,101.5,A
512,2012-09,102.88,A
513,2012-10,102.65,A
514,2012-11,102.81,A
515,2012-12,103.0,A
516,2013-01,100.59,A
517,2013-02,100.73,A
518,2013-03,102.75,A
519,2013-04,102.67,A
520,2013-05,102.68,A
521,2013-06,102.63,A
522,2013-07,99.77,A
523,2013-08,100.89,A
524,2013-09,102.18,A
525,2013-10,102.16,A
526,2013-11,102.31,A
527,2013-12,102.38,A
528,2014-01,99.34,A
529,2014-02,100.62,A
530,2014-03,101.95,A
531,2014-04,101.97,A
532,2014-05,101.86,A
533,2014-06,101.42,A
534,2014-07,98.52,A
535,2014-08,100.34,A
536,2014-09,101.51,A
537,2014-10,101.35,A
538,2014-11,101.08,A
539,2014-12,101.16,A
540,2015-01,97.93,A
541,2015-02,98.89,A
542,2015-03,100.89,A
543,2015-04,101.02,A
544,2015-05,101.18,A
545,2015-06,100.72,A
546,2015-07,97.64,A
547,2015-08,99.19,A
548,2015-09,100.62,A
549,2015-10,100.6,A
550,2015-11,100.5,A
551,2015-12,100.82,A
552,2016-01,97.84,A
553,2016-02,98.79,A
554,2016-03,100.66,A
555,2016-04,100.41,A
556,2016-05,100.53,A
557,2016-06,100.23,A
558,2016-07,97.33,A
559,2016-08,98.72,A
560,2016-09,99.99,A
561,2016-10,99.96,A
562,2016-11,99.88,A
563,2016-12,99.86,A
564,2017-01,97.51,A
565,2017-02,97.21,A
566,2017-03,99.63,A
567,2017-04,99.75,A
568,2017-05,99.85,A
569,2017-06,99.91,A
570,2017-07,96.98,A
571,2017-08,98.06,A
572,2017-09,99.53,A
573,2017-10,99.7,A
574,2017-11,99.64,A
575,2017-12,99.75,A
576,2018-01,97.52,A
577,2018-02,97.26,A
578,2018-03,99.35,A
579,2018-04,99.41,A
580,2018-05,99.68,A
581,2018-06,99.67,A
582,2018-07,96.88,A
583,2018-08,97.99,A
584,2018-09,99.3,A
585,2018-10,99.32,A
586,2018-11,99.37,A
587,2018-12,99.21,A
588,2019-01,97.13,A
589,2019-02,96.78,A
590,2019-03,98.78,A
591,2019-04,98.88,A
592,2019-05,99.03,A
593,2019-06,99.02,A
594,2019-07,96.27,A
595,2019-08,97.11,A
596,2019-09,98.56,A
597,2019-10,98.82,A
598,2019-11,98.74,A
599,2019-12,98.96,A
600,2020-01,96.81,A
601,2020-02,97.03,A
602,2020-03,98.37,A
603,2020-04,98.38,U
604,2020-05,98.33,A
605,2020-06,98.01,A
606,2020-07,98.04,A
607,2020-08,96.87,A
608,2020-09,98.39,A
609,2020-10,98.74,A
610,2020-11,98.42,A
611,2020-12,98.02,A
612,2021-01,97.6,A
613,2021-02,96.69,A
614,2021-03,98.19,A
615,2021-04,98.14,A
616,2021-05,98.27,A
617,2021-06,98.72,A
618,2021-07,96.93,A
619,2021-08,97.98,A
620,2021-09,98.8,A
621,2021-10,98.99,A
622,2021-11,99.2,A
623,2021-12,99.2,A
624,2022-01,98.22,A
625,2022-02,98.85,A
626,2022-03,100.25,A
627,2022-04,100.72,A
628,2022-05,101.23,A
629,2022-06,101.18,A
630,2022-07,99.58,A
631,2022-08,101.41,A
632,2022-09,102.35,A
633,2022-10,103.13,A
634,2022-11,103.55,A
635,2022-12,103.76,A
