,Label,Monthly business survey in goods-producing industries - Manufacturing industry - General outlook - Probable trend in industrial production volume (balance of opinion) - SA series,Codes
110,1979-03,4.1,A
111,1979-04,3.3,A
112,1979-05,3.5,A
113,1979-06,1.0,A
114,1979-07,1.1,A
115,1979-08,-0.6,A
116,1979-09,-2.4,A
117,1979-10,7.7,A
118,1979-11,3.2,A
119,1979-12,4.1,A
120,1980-01,-2.5,A
121,1980-02,-0.4,A
122,1980-03,-10.3,A
123,1980-04,-11.5,A
124,1980-05,-19.1,A
125,1980-06,-20.6,A
126,1980-07,-31.8,A
127,1980-08,-32.1,A
128,1980-09,-32.8,A
129,1980-10,-39.6,A
130,1980-11,-42.5,A
131,1980-12,-49.1,A
132,1981-01,-49.8,A
133,1981-02,-49.9,A
134,1981-03,-48.2,A
135,1981-04,-41.7,A
136,1981-05,-31.2,A
137,1981-06,-40.0,A
138,1981-07,-32.1,A
139,1981-08,-29.7,A
140,1981-09,-27.9,A
141,1981-10,-27.7,A
142,1981-11,-21.3,A
143,1981-12,-14.4,A
144,1982-01,-5.4,A
145,1982-02,-14.1,A
146,1982-03,-17.1,A
147,1982-04,-21.2,A
148,1982-05,-22.5,A
149,1982-06,-26.8,A
150,1982-07,-35.6,A
151,1982-08,-38.5,A
152,1982-09,-41.7,A
153,1982-10,-41.2,A
154,1982-11,-42.3,A
155,1982-12,-40.6,A
156,1983-01,-39.5,A
157,1983-02,-43.9,A
158,1983-03,-38.5,A
159,1983-04,-53.2,A
160,1983-05,-56.5,A
161,1983-06,-53.6,A
162,1983-07,-53.1,A
163,1983-08,-50.8,A
164,1983-09,-48.5,A
165,1983-10,-47.0,A
166,1983-11,-43.4,A
167,1983-12,-49.2,A
168,1984-01,-46.4,A
169,1984-02,-43.0,A
170,1984-03,-38.4,A
171,1984-04,-35.6,A
172,1984-05,-31.0,A
173,1984-06,-27.6,A
174,1984-07,-18.5,A
175,1984-08,-18.7,A
176,1984-09,-18.3,A
177,1984-10,-22.3,A
178,1984-11,-17.9,A
179,1984-12,-18.5,A
180,1985-01,-20.6,A
181,1985-02,-14.9,A
182,1985-03,-13.8,A
183,1985-04,-12.4,A
184,1985-05,-17.7,A
185,1985-06,-10.2,A
186,1985-07,-10.4,A
187,1985-08,-8.9,A
188,1985-09,-6.4,A
189,1985-10,-9.1,A
190,1985-11,-4.3,A
191,1985-12,1.8,A
192,1986-01,8.0,A
193,1986-02,3.0,A
194,1986-03,9.4,A
195,1986-04,13.8,A
196,1986-05,15.2,A
197,1986-06,3.4,A
198,1986-07,6.6,A
199,1986-08,4.9,A
200,1986-09,4.4,A
201,1986-10,5.9,A
202,1986-11,2.3,A
203,1986-12,1.0,A
204,1987-01,-8.5,A
205,1987-02,-8.3,A
206,1987-03,-11.9,A
207,1987-04,-6.6,A
208,1987-05,-6.1,A
209,1987-06,-8.9,A
210,1987-07,-4.3,A
211,1987-08,0.1,A
212,1987-09,6.4,A
213,1987-10,2.5,A
214,1987-11,1.1,A
215,1987-12,-2.5,A
216,1988-01,-0.6,A
217,1988-02,0.7,A
218,1988-03,4.7,A
219,1988-04,2.9,A
220,1988-05,4.7,A
221,1988-06,9.3,A
222,1988-07,14.8,A
223,1988-08,15.7,A
224,1988-09,19.4,A
225,1988-10,25.7,A
226,1988-11,23.8,A
227,1988-12,25.5,A
228,1989-01,33.0,A
229,1989-02,29.4,A
230,1989-03,27.2,A
231,1989-04,23.4,A
232,1989-05,22.6,A
233,1989-06,22.4,A
234,1989-07,22.3,A
235,1989-08,21.5,A
236,1989-09,24.1,A
237,1989-10,28.8,A
238,1989-11,26.4,A
239,1989-12,28.6,A
240,1990-01,29.8,A
241,1990-02,24.2,A
242,1990-03,19.3,A
243,1990-04,14.4,A
244,1990-05,9.4,A
245,1990-06,8.6,A
246,1990-07,10.5,A
247,1990-08,-4.5,A
248,1990-09,-16.8,A
249,1990-10,-24.1,A
250,1990-11,-25.4,A
251,1990-12,-22.8,A
252,1991-01,-35.6,A
253,1991-02,-52.3,A
254,1991-03,-26.6,A
255,1991-04,-29.5,A
256,1991-05,-37.3,A
257,1991-06,-30.7,A
258,1991-07,-29.8,A
259,1991-08,-26.1,A
260,1991-09,-19.6,A
261,1991-10,-24.7,A
262,1991-11,-24.8,A
263,1991-12,-24.9,A
264,1992-01,-18.4,A
265,1992-02,-17.0,A
266,1992-03,-13.1,A
267,1992-04,-15.0,A
268,1992-05,-14.3,A
269,1992-06,-14.8,A
270,1992-07,-14.5,A
271,1992-08,-25.5,A
272,1992-09,-34.2,A
273,1992-10,-37.4,A
274,1992-11,-39.4,A
275,1992-12,-44.6,A
276,1993-01,-48.6,A
277,1993-02,-51.4,A
278,1993-03,-58.1,A
279,1993-04,-44.3,A
280,1993-05,-49.1,A
281,1993-06,-56.0,A
282,1993-07,-47.9,A
283,1993-08,-41.1,A
284,1993-09,-33.6,A
285,1993-10,-31.0,A
286,1993-11,-19.3,A
287,1993-12,-8.1,A
288,1994-01,-4.0,A
289,1994-02,2.0,A
290,1994-03,9.6,A
291,1994-04,14.8,A
292,1994-05,22.5,A
293,1994-06,28.3,A
294,1994-07,24.5,A
295,1994-08,29.7,A
296,1994-09,34.4,A
297,1994-10,41.8,A
298,1994-11,40.3,A
299,1994-12,37.6,A
300,1995-01,37.7,A
301,1995-02,32.5,A
302,1995-03,26.3,A
303,1995-04,21.2,A
304,1995-05,15.1,A
305,1995-06,14.4,A
306,1995-07,10.8,A
307,1995-08,5.8,A
308,1995-09,-0.5,A
309,1995-10,-12.8,A
310,1995-11,-19.1,A
311,1995-12,-35.1,A
312,1996-01,-33.2,A
313,1996-02,-30.8,A
314,1996-03,-22.9,A
315,1996-04,-18.4,A
316,1996-05,-23.0,A
317,1996-06,-21.9,A
318,1996-07,-28.9,A
319,1996-08,-28.0,A
320,1996-09,-28.3,A
321,1996-10,-24.0,A
322,1996-11,-19.2,A
323,1996-12,-12.4,A
324,1997-01,-1.2,A
325,1997-02,6.1,A
326,1997-03,2.3,A
327,1997-04,1.7,A
328,1997-05,-1.0,A
329,1997-06,-5.7,A
330,1997-07,0.3,A
331,1997-08,7.7,A
332,1997-09,14.3,A
333,1997-10,24.4,A
334,1997-11,18.2,A
335,1997-12,20.4,A
336,1998-01,22.5,A
337,1998-02,21.6,A
338,1998-03,27.6,A
339,1998-04,29.9,A
340,1998-05,27.9,A
341,1998-06,29.0,A
342,1998-07,29.4,A
343,1998-08,22.8,A
344,1998-09,15.6,A
345,1998-10,4.8,A
346,1998-11,-4.3,A
347,1998-12,-9.6,A
348,1999-01,-10.7,A
349,1999-02,-14.8,A
350,1999-03,-14.9,A
351,1999-04,-16.6,A
352,1999-05,-13.0,A
353,1999-06,-5.1,A
354,1999-07,8.6,A
355,1999-08,15.2,A
356,1999-09,21.4,A
357,1999-10,35.7,A
358,1999-11,32.3,A
359,1999-12,35.1,A
360,2000-01,35.2,A
361,2000-02,33.4,A
362,2000-03,31.5,A
363,2000-04,40.3,A
364,2000-05,35.9,A
365,2000-06,33.9,A
366,2000-07,36.6,A
367,2000-08,34.0,A
368,2000-09,31.2,A
369,2000-10,26.7,A
370,2000-11,21.2,A
371,2000-12,21.2,A
372,2001-01,14.8,A
373,2001-02,10.0,A
374,2001-03,7.2,A
375,2001-04,-8.0,A
376,2001-05,-17.9,A
377,2001-06,-22.9,A
378,2001-07,-33.3,A
379,2001-08,-37.4,A
380,2001-09,-41.6,A
381,2001-10,-50.3,A
382,2001-11,-46.4,A
383,2001-12,-48.1,A
384,2002-01,-41.5,A
385,2002-02,-35.3,A
386,2002-03,-26.3,A
387,2002-04,-8.8,A
388,2002-05,-7.3,A
389,2002-06,-4.1,A
390,2002-07,-12.9,A
391,2002-08,-18.1,A
392,2002-09,-23.0,A
393,2002-10,-33.6,A
394,2002-11,-32.2,A
395,2002-12,-25.8,A
396,2003-01,-33.4,A
397,2003-02,-37.9,A
398,2003-03,-48.8,A
399,2003-04,-49.6,A
400,2003-05,-31.8,A
401,2003-06,-30.7,A
402,2003-07,-32.6,A
403,2003-08,-29.6,A
404,2003-09,-26.1,A
405,2003-10,-21.8,A
406,2003-11,-7.8,A
407,2003-12,3.0,A
408,2004-01,10.4,A
409,2004-02,6.8,A
410,2004-03,6.5,A
411,2004-04,1.1,A
412,2004-05,-0.5,A
413,2004-06,1.0,A
414,2004-07,6.9,A
415,2004-08,8.3,A
416,2004-09,9.6,A
417,2004-10,13.7,A
418,2004-11,-1.4,A
419,2004-12,-4.3,A
420,2005-01,-6.3,A
421,2005-02,-2.7,A
422,2005-03,-2.3,A
423,2005-04,-12.4,A
424,2005-05,-20.0,A
425,2005-06,-22.2,A
426,2005-07,-21.2,A
427,2005-08,-19.1,A
428,2005-09,-17.1,A
429,2005-10,-11.8,A
430,2005-11,-5.5,A
431,2005-12,-2.8,A
432,2006-01,1.2,A
433,2006-02,-0.3,A
434,2006-03,1.2,A
435,2006-04,0.8,A
436,2006-05,3.0,A
437,2006-06,-0.5,A
438,2006-07,5.4,A
439,2006-08,9.2,A
440,2006-09,13.3,A
441,2006-10,13.2,A
442,2006-11,11.0,A
443,2006-12,1.3,A
444,2007-01,3.4,A
445,2007-02,5.7,A
446,2007-03,4.1,A
447,2007-04,8.2,A
448,2007-05,12.8,A
449,2007-06,17.4,A
450,2007-07,15.1,A
451,2007-08,9.0,A
452,2007-09,3.5,A
453,2007-10,5.1,A
454,2007-11,3.4,A
455,2007-12,7.3,A
456,2008-01,0.9,A
457,2008-02,-5.9,A
458,2008-03,-5.1,A
459,2008-04,-11.0,A
460,2008-05,-16.5,A
461,2008-06,-21.0,A
462,2008-07,-33.8,A
463,2008-08,-37.0,A
464,2008-09,-42.5,A
465,2008-10,-64.8,A
466,2008-11,-65.2,A
467,2008-12,-67.4,A
468,2009-01,-70.1,A
469,2009-02,-70.2,A
470,2009-03,-68.0,A
471,2009-04,-62.0,A
472,2009-05,-51.2,A
473,2009-06,-44.5,A
474,2009-07,-39.2,A
475,2009-08,-23.7,A
476,2009-09,-14.1,A
477,2009-10,-7.3,A
478,2009-11,-2.6,A
479,2009-12,-3.6,A
480,2010-01,0.8,A
481,2010-02,-1.2,A
482,2010-03,-6.1,A
483,2010-04,2.0,A
484,2010-05,-4.8,A
485,2010-06,-4.8,A
486,2010-07,0.3,A
487,2010-08,2.8,A
488,2010-09,7.5,A
489,2010-10,10.5,A
490,2010-11,10.8,A
491,2010-12,11.9,A
492,2011-01,11.8,A
493,2011-02,15.8,A
494,2011-03,16.0,A
495,2011-04,12.3,A
496,2011-05,12.8,A
497,2011-06,9.7,A
498,2011-07,2.8,A
499,2011-08,-12.5,A
500,2011-09,-23.6,A
501,2011-10,-26.1,A
502,2011-11,-29.9,A
503,2011-12,-32.1,A
504,2012-01,-34.8,A
505,2012-02,-29.7,A
506,2012-03,-21.0,A
507,2012-04,-23.3,A
508,2012-05,-30.5,A
509,2012-06,-32.9,A
510,2012-07,-42.0,A
511,2012-08,-41.7,A
512,2012-09,-47.7,A
513,2012-10,-53.5,A
514,2012-11,-40.2,A
515,2012-12,-37.8,A
516,2013-01,-38.0,A
517,2013-02,-38.2,A
518,2013-03,-44.4,A
519,2013-04,-46.6,A
520,2013-05,-44.2,A
521,2013-06,-38.6,A
522,2013-07,-28.9,A
523,2013-08,-16.3,A
524,2013-09,-10.1,A
525,2013-10,-6.9,A
526,2013-11,-15.0,A
527,2013-12,-12.9,A
528,2014-01,-10.8,A
529,2014-02,-10.5,A
530,2014-03,-9.7,A
531,2014-04,-10.9,A
532,2014-05,-10.9,A
533,2014-06,-15.5,A
534,2014-07,-17.8,A
535,2014-08,-20.4,A
536,2014-09,-20.9,A
537,2014-10,-20.8,A
538,2014-11,-17.4,A
539,2014-12,-14.4,A
540,2015-01,-12.9,A
541,2015-02,-6.6,A
542,2015-03,-0.9,A
543,2015-04,1.7,A
544,2015-05,-0.2,A
545,2015-06,1.4,A
546,2015-07,1.3,A
547,2015-08,3.4,A
548,2015-09,3.3,A
549,2015-10,2.2,A
550,2015-11,7.8,A
551,2015-12,1.7,A
552,2016-01,1.5,A
553,2016-02,-3.4,A
554,2016-03,-1.0,A
555,2016-04,-0.5,A
556,2016-05,6.2,A
557,2016-06,1.2,A
558,2016-07,2.2,A
559,2016-08,-0.1,A
560,2016-09,3.9,A
561,2016-10,1.3,A
562,2016-11,1.0,A
563,2016-12,7.6,A
564,2017-01,7.1,A
565,2017-02,6.2,A
566,2017-03,4.1,A
567,2017-04,2.2,A
568,2017-05,8.1,A
569,2017-06,16.5,A
570,2017-07,20.4,A
571,2017-08,19.5,A
572,2017-09,22.6,A
573,2017-10,28.1,A
574,2017-11,29.2,A
575,2017-12,31.2,A
576,2018-01,34.0,A
577,2018-02,30.7,A
578,2018-03,27.5,A
579,2018-04,24.5,A
580,2018-05,16.1,A
581,2018-06,13.7,A
582,2018-07,9.3,A
583,2018-08,10.0,A
584,2018-09,7.4,A
585,2018-10,6.3,A
586,2018-11,4.5,A
587,2018-12,-6.5,A
588,2019-01,-7.7,A
589,2019-02,-2.7,A
590,2019-03,-0.5,A
591,2019-04,-1.9,A
592,2019-05,1.5,A
593,2019-06,0.9,A
594,2019-07,-0.6,A
595,2019-08,1.0,A
596,2019-09,2.3,A
597,2019-10,-0.9,A
598,2019-11,-1.3,A
599,2019-12,-3.0,A
600,2020-01,-2.4,A
601,2020-02,0.7,A
602,2020-03,-33.0,U
603,2020-04,-78.1,U
604,2020-05,-50.6,U
605,2020-06,-15.4,U
606,2020-07,-5.3,U
607,2020-08,-6.1,U
608,2020-09,-4.6,A
609,2020-10,-11.7,A
610,2020-11,-37.4,A
611,2020-12,-2.5,A
612,2021-01,-6.8,A
613,2021-02,-6.5,A
614,2021-03,5.3,A
615,2021-04,2.2,A
616,2021-05,16.9,A
617,2021-06,25.3,A
618,2021-07,19.8,A
619,2021-08,16.2,A
620,2021-09,22.1,A
621,2021-10,20.8,A
622,2021-11,19.5,A
623,2021-12,21.3,A
624,2022-01,14.6,A
625,2022-02,21.8,A
626,2022-03,-2.8,A
627,2022-04,-4.3,A
628,2022-05,-8.6,A
629,2022-06,-5.0,A
630,2022-07,-5.0,A
631,2022-08,-1.6,A
632,2022-09,-5.8,A
633,2022-10,-7.6,A
634,2022-11,-9.5,A
635,2022-12,-6.8,A
